year,time,index,error,SElo,SEup,metric,timeseries,lat,lon,depth,order
1950,1950,-1.5330874,0.6163296,-2.149417,-0.91675776,NPGO,Winter North Pacific Gyre Oscillation Index,nan,nan,nan,1.0
1951,1951,-0.48729885,0.078226455,-0.5655253,-0.4090724,NPGO,Winter North Pacific Gyre Oscillation Index,nan,nan,nan,1.0
1952,1952,-1.0318562,0.33668792,-1.3685441,-0.69516826,NPGO,Winter North Pacific Gyre Oscillation Index,nan,nan,nan,1.0
1953,1953,0.96975213,0.23574166,0.73401046,1.2054938,NPGO,Winter North Pacific Gyre Oscillation Index,nan,nan,nan,1.0
1954,1954,0.7766149,0.6046384,0.1719765,1.3812532,NPGO,Winter North Pacific Gyre Oscillation Index,nan,nan,nan,1.0
1955,1955,-0.046348885,0.3230724,-0.3694213,0.2767235,NPGO,Winter North Pacific Gyre Oscillation Index,nan,nan,nan,1.0
1956,1956,0.0017620791,0.13041426,-0.12865219,0.13217634,NPGO,Winter North Pacific Gyre Oscillation Index,nan,nan,nan,1.0
1957,1957,-1.5232301,0.37867063,-1.9019008,-1.1445594,NPGO,Winter North Pacific Gyre Oscillation Index,nan,nan,nan,1.0
1958,1958,-0.2961555,0.74107516,-1.0372307,0.44491965,NPGO,Winter North Pacific Gyre Oscillation Index,nan,nan,nan,1.0
1959,1959,-0.2866417,0.3682159,-0.6548576,0.0815742,NPGO,Winter North Pacific Gyre Oscillation Index,nan,nan,nan,1.0
1960,1960,0.89940906,0.10373551,0.79567355,1.0031445,NPGO,Winter North Pacific Gyre Oscillation Index,nan,nan,nan,1.0
1961,1961,1.4039993,0.32539254,1.0786068,1.7293918,NPGO,Winter North Pacific Gyre Oscillation Index,nan,nan,nan,1.0
1962,1962,-0.19423051,0.3931089,-0.5873394,0.1988784,NPGO,Winter North Pacific Gyre Oscillation Index,nan,nan,nan,1.0
1963,1963,-0.72978765,0.4145822,-1.1443698,-0.31520545,NPGO,Winter North Pacific Gyre Oscillation Index,nan,nan,nan,1.0
1964,1964,0.5723484,0.43449527,0.13785315,1.0068437,NPGO,Winter North Pacific Gyre Oscillation Index,nan,nan,nan,1.0
1965,1965,-0.796464,0.17040661,-0.96687067,-0.6260574,NPGO,Winter North Pacific Gyre Oscillation Index,nan,nan,nan,1.0
1966,1966,-0.67886466,0.40168583,-1.0805504,-0.27717882,NPGO,Winter North Pacific Gyre Oscillation Index,nan,nan,nan,1.0
1967,1967,-0.8217694,0.26517043,-1.0869398,-0.556599,NPGO,Winter North Pacific Gyre Oscillation Index,nan,nan,nan,1.0
1968,1968,-0.67467445,0.07924582,-0.75392026,-0.59542865,NPGO,Winter North Pacific Gyre Oscillation Index,nan,nan,nan,1.0
1969,1969,-1.3432678,1.0531578,-2.3964257,-0.29011,NPGO,Winter North Pacific Gyre Oscillation Index,nan,nan,nan,1.0
1970,1970,-0.30853724,0.11105287,-0.41959012,-0.19748437,NPGO,Winter North Pacific Gyre Oscillation Index,nan,nan,nan,1.0
1971,1971,0.10396776,0.3300223,-0.22605455,0.43399006,NPGO,Winter North Pacific Gyre Oscillation Index,nan,nan,nan,1.0
1972,1972,-0.54435503,0.14333667,-0.6876917,-0.40101838,NPGO,Winter North Pacific Gyre Oscillation Index,nan,nan,nan,1.0
1973,1973,-0.20803551,0.25607046,-0.46410596,0.04803495,NPGO,Winter North Pacific Gyre Oscillation Index,nan,nan,nan,1.0
1974,1974,-0.47200668,0.49417982,-0.9661865,0.022173136,NPGO,Winter North Pacific Gyre Oscillation Index,nan,nan,nan,1.0
1975,1975,0.77983546,0.18173346,0.598102,0.96156895,NPGO,Winter North Pacific Gyre Oscillation Index,nan,nan,nan,1.0
1976,1976,1.3137162,0.32142496,0.9922912,1.6351411,NPGO,Winter North Pacific Gyre Oscillation Index,nan,nan,nan,1.0
1977,1977,1.6517701,0.30898458,1.3427856,1.9607546,NPGO,Winter North Pacific Gyre Oscillation Index,nan,nan,nan,1.0
1978,1978,1.0252669,0.35458007,0.67068684,1.3798469,NPGO,Winter North Pacific Gyre Oscillation Index,nan,nan,nan,1.0
1979,1979,-0.4589715,0.20359397,-0.66256547,-0.25537753,NPGO,Winter North Pacific Gyre Oscillation Index,nan,nan,nan,1.0
1980,1980,-1.5920871,0.39245743,-1.9845445,-1.1996298,NPGO,Winter North Pacific Gyre Oscillation Index,nan,nan,nan,1.0
1981,1981,-0.6708967,0.39703277,-1.0679295,-0.27386394,NPGO,Winter North Pacific Gyre Oscillation Index,nan,nan,nan,1.0
1982,1982,-0.5646991,0.34022248,-0.9049216,-0.22447664,NPGO,Winter North Pacific Gyre Oscillation Index,nan,nan,nan,1.0
1983,1983,0.5029785,0.09071779,0.4122607,0.5936963,NPGO,Winter North Pacific Gyre Oscillation Index,nan,nan,nan,1.0
1984,1984,0.30158308,0.4749199,-0.1733368,0.77650297,NPGO,Winter North Pacific Gyre Oscillation Index,nan,nan,nan,1.0
1985,1985,0.16356674,0.20298956,-0.039422825,0.3665563,NPGO,Winter North Pacific Gyre Oscillation Index,nan,nan,nan,1.0
1986,1986,-0.89467174,0.5034555,-1.3981273,-0.39121622,NPGO,Winter North Pacific Gyre Oscillation Index,nan,nan,nan,1.0
1987,1987,0.5798568,0.25818822,0.3216686,0.838045,NPGO,Winter North Pacific Gyre Oscillation Index,nan,nan,nan,1.0
1988,1988,0.9567278,0.1544846,0.80224323,1.1112124,NPGO,Winter North Pacific Gyre Oscillation Index,nan,nan,nan,1.0
1989,1989,0.9678874,0.32712656,0.64076084,1.2950139,NPGO,Winter North Pacific Gyre Oscillation Index,nan,nan,nan,1.0
1990,1990,0.21377109,0.46887144,-0.25510037,0.6826425,NPGO,Winter North Pacific Gyre Oscillation Index,nan,nan,nan,1.0
1991,1991,-0.6185782,0.2737773,-0.8923555,-0.3448009,NPGO,Winter North Pacific Gyre Oscillation Index,nan,nan,nan,1.0
1992,1992,-0.2614186,0.6783225,-0.93974113,0.41690388,NPGO,Winter North Pacific Gyre Oscillation Index,nan,nan,nan,1.0
1993,1993,-2.2332375,0.5434623,-2.7766998,-1.6897752,NPGO,Winter North Pacific Gyre Oscillation Index,nan,nan,nan,1.0
1994,1994,-1.896156,0.07146057,-1.9676166,-1.8246953,NPGO,Winter North Pacific Gyre Oscillation Index,nan,nan,nan,1.0
1995,1995,-1.3715186,0.79490685,-2.1664255,-0.57661176,NPGO,Winter North Pacific Gyre Oscillation Index,nan,nan,nan,1.0
1996,1996,-0.94688183,0.27092662,-1.2178085,-0.6759552,NPGO,Winter North Pacific Gyre Oscillation Index,nan,nan,nan,1.0
1997,1997,-1.1237828,0.5111821,-1.634965,-0.6126006,NPGO,Winter North Pacific Gyre Oscillation Index,nan,nan,nan,1.0
1998,1998,1.107097,0.7106133,0.39648372,1.8177104,NPGO,Winter North Pacific Gyre Oscillation Index,nan,nan,nan,1.0
