year,time,index,error,SElo,SEup,metric,timeseries,lat,lon,depth,order
1950,1950,-1.91,0.25159496,-2.1615949,-1.6584051,PDO,Winter Pacific Decadal Oscillation Index,nan,nan,nan,1.0
1951,1951,-1.3666667,0.2227854,-1.589452,-1.1438813,PDO,Winter Pacific Decadal Oscillation Index,nan,nan,nan,1.0
1952,1952,-1.6033334,0.5325724,-2.1359057,-1.070761,PDO,Winter Pacific Decadal Oscillation Index,nan,nan,nan,1.0
1953,1953,-0.4,0.42790186,-0.82790184,0.027901858,PDO,Winter Pacific Decadal Oscillation Index,nan,nan,nan,1.0
1954,1954,-0.8566666,0.15307948,-1.0097461,-0.7035872,PDO,Winter Pacific Decadal Oscillation Index,nan,nan,nan,1.0
1955,1955,-0.73,0.4782259,-1.208226,-0.25177413,PDO,Winter Pacific Decadal Oscillation Index,nan,nan,nan,1.0
1956,1956,-2.2833333,0.30892298,-2.5922563,-1.9744103,PDO,Winter Pacific Decadal Oscillation Index,nan,nan,nan,1.0
1957,1957,-1.2199999,0.43588987,-1.6558897,-0.78411007,PDO,Winter Pacific Decadal Oscillation Index,nan,nan,nan,1.0
1958,1958,0.8966667,0.17214338,0.7245233,1.0688101,PDO,Winter Pacific Decadal Oscillation Index,nan,nan,nan,1.0
1959,1959,0.5833333,0.4908496,0.0924837,1.074183,PDO,Winter Pacific Decadal Oscillation Index,nan,nan,nan,1.0
1960,1960,0.51666665,0.20008333,0.31658334,0.71674997,PDO,Winter Pacific Decadal Oscillation Index,nan,nan,nan,1.0
1961,1961,1.06,0.07810249,0.9818975,1.1381024,PDO,Winter Pacific Decadal Oscillation Index,nan,nan,nan,1.0
1962,1962,-0.99,0.11357816,-1.1035782,-0.87642187,PDO,Winter Pacific Decadal Oscillation Index,nan,nan,nan,1.0
1963,1963,-0.12666667,0.13868429,-0.26535094,0.012017623,PDO,Winter Pacific Decadal Oscillation Index,nan,nan,nan,1.0
1964,1964,-0.0033333302,0.4588391,-0.46217242,0.45550576,PDO,Winter Pacific Decadal Oscillation Index,nan,nan,nan,1.0
1965,1965,-0.59000003,0.46130252,-1.0513026,-0.12869751,PDO,Winter Pacific Decadal Oscillation Index,nan,nan,nan,1.0
1966,1966,-0.48,0.2364318,-0.7164318,-0.24356818,PDO,Winter Pacific Decadal Oscillation Index,nan,nan,nan,1.0
1967,1967,-0.37,0.2381176,-0.6081176,-0.1318824,PDO,Winter Pacific Decadal Oscillation Index,nan,nan,nan,1.0
1968,1968,-0.39000002,0.42930177,-0.8193018,0.039301753,PDO,Winter Pacific Decadal Oscillation Index,nan,nan,nan,1.0
1969,1969,-0.5,0.15524173,-0.6552417,-0.34475827,PDO,Winter Pacific Decadal Oscillation Index,nan,nan,nan,1.0
1970,1970,1.3566666,0.107857965,1.2488086,1.4645245,PDO,Winter Pacific Decadal Oscillation Index,nan,nan,nan,1.0
1971,1971,-1.3166666,0.06027714,-1.3769437,-1.2563895,PDO,Winter Pacific Decadal Oscillation Index,nan,nan,nan,1.0
1972,1972,-1.5666666,0.3256276,-1.8922942,-1.241039,PDO,Winter Pacific Decadal Oscillation Index,nan,nan,nan,1.0
1973,1973,-0.06999999,0.25,-0.32,0.18,PDO,Winter Pacific Decadal Oscillation Index,nan,nan,nan,1.0
