year,time,index,error,SElo,SEup,metric,timeseries,lat,lon,depth,order
1999,1999,0.854631775360436,nan,nan,nan,Saturation state,Winter Aragonite Saturation at 150 m: NH25 (44.65N -124.65W),44.651291689686815,-124.64981182041355,150.0,1.0
2000,2000,0.843150412927028,nan,nan,nan,Saturation state,Winter Aragonite Saturation at 150 m: NH25 (44.65N -124.65W),44.651291689686815,-124.64981182041355,150.0,1.0
2001,2001,0.9135453816468719,0.006516165851080134,0.9070292157957918,0.9200615474979521,Saturation state,Winter Aragonite Saturation at 150 m: NH25 (44.65N -124.65W),44.651291689686815,-124.64981182041355,150.0,1.0
2002,2002,0.751700883858356,nan,nan,nan,Saturation state,Winter Aragonite Saturation at 150 m: NH25 (44.65N -124.65W),44.651291689686815,-124.64981182041355,150.0,1.0
2003,2003,0.830060323405349,nan,nan,nan,Saturation state,Winter Aragonite Saturation at 150 m: NH25 (44.65N -124.65W),44.651291689686815,-124.64981182041355,150.0,1.0
2004,2004,nan,nan,nan,nan,Saturation state,Winter Aragonite Saturation at 150 m: NH25 (44.65N -124.65W),44.651291689686815,-124.64981182041355,150.0,1.0
2005,2005,nan,nan,nan,nan,Saturation state,Winter Aragonite Saturation at 150 m: NH25 (44.65N -124.65W),44.651291689686815,-124.64981182041355,150.0,1.0
2006,2006,0.701821318932111,nan,nan,nan,Saturation state,Winter Aragonite Saturation at 150 m: NH25 (44.65N -124.65W),44.651291689686815,-124.64981182041355,150.0,1.0
2007,2007,0.7356243009487776,0.06856828203152301,0.6670560189172546,0.8041925829803006,Saturation state,Winter Aragonite Saturation at 150 m: NH25 (44.65N -124.65W),44.651291689686815,-124.64981182041355,150.0,1.0
2008,2008,0.8065924947615455,0.04366155029803139,0.7629309444635141,0.8502540450595769,Saturation state,Winter Aragonite Saturation at 150 m: NH25 (44.65N -124.65W),44.651291689686815,-124.64981182041355,150.0,1.0
2009,2009,0.7901627687571832,0.03430510618027837,0.7558576625769048,0.8244678749374615,Saturation state,Winter Aragonite Saturation at 150 m: NH25 (44.65N -124.65W),44.651291689686815,-124.64981182041355,150.0,1.0
2010,2010,0.920243301854534,0.09787081681547283,0.8223724850390611,1.018114118670007,Saturation state,Winter Aragonite Saturation at 150 m: NH25 (44.65N -124.65W),44.651291689686815,-124.64981182041355,150.0,1.0
2011,2011,0.7945162491607265,0.006773327016059224,0.7877429221446672,0.8012895761767858,Saturation state,Winter Aragonite Saturation at 150 m: NH25 (44.65N -124.65W),44.651291689686815,-124.64981182041355,150.0,1.0
2012,2012,0.7764939581886727,0.031611947323246126,0.7448820108654266,0.8081059055119189,Saturation state,Winter Aragonite Saturation at 150 m: NH25 (44.65N -124.65W),44.651291689686815,-124.64981182041355,150.0,1.0
2013,2013,0.798597584597661,0.05280242936785274,0.7457951552298082,0.8514000139655137,Saturation state,Winter Aragonite Saturation at 150 m: NH25 (44.65N -124.65W),44.651291689686815,-124.64981182041355,150.0,1.0
2014,2014,0.8031634593913886,0.0328987636166683,0.7702646957747202,0.8360622230080569,Saturation state,Winter Aragonite Saturation at 150 m: NH25 (44.65N -124.65W),44.651291689686815,-124.64981182041355,150.0,1.0
2015,2015,0.8651332322072257,0.04621883464135114,0.8189143975658746,0.9113520668485768,Saturation state,Winter Aragonite Saturation at 150 m: NH25 (44.65N -124.65W),44.651291689686815,-124.64981182041355,150.0,1.0
2016,2016,0.9498551068658583,0.06450756894965015,0.8853475379162081,1.0143626758155084,Saturation state,Winter Aragonite Saturation at 150 m: NH25 (44.65N -124.65W),44.651291689686815,-124.64981182041355,150.0,1.0
2017,2017,0.8759442324371461,0.054548146178880055,0.8213960862582661,0.9304923786160262,Saturation state,Winter Aragonite Saturation at 150 m: NH25 (44.65N -124.65W),44.651291689686815,-124.64981182041355,150.0,1.0
2018,2018,0.7491427775855249,0.04406775868637925,0.7050750188991457,0.7932105362719042,Saturation state,Winter Aragonite Saturation at 150 m: NH25 (44.65N -124.65W),44.651291689686815,-124.64981182041355,150.0,1.0
2019,2019,0.9276421954924033,0.030397053832061795,0.8972451416603415,0.9580392493244652,Saturation state,Winter Aragonite Saturation at 150 m: NH25 (44.65N -124.65W),44.651291689686815,-124.64981182041355,150.0,1.0
