year,month,time,index,error,SElo,SEup,metric,timeseries,lat,lon,depth,order
1950,1,1950-01,-1.53,nan,nan,nan,ONI,Monthly Oceanic Nino Index,nan,nan,nan,1.0
1950,2,1950-02,-1.34,nan,nan,nan,ONI,Monthly Oceanic Nino Index,nan,nan,nan,1.0
1950,3,1950-03,-1.16,nan,nan,nan,ONI,Monthly Oceanic Nino Index,nan,nan,nan,1.0
1950,4,1950-04,-1.18,nan,nan,nan,ONI,Monthly Oceanic Nino Index,nan,nan,nan,1.0
1950,5,1950-05,-1.07,nan,nan,nan,ONI,Monthly Oceanic Nino Index,nan,nan,nan,1.0
1950,6,1950-06,-0.85,nan,nan,nan,ONI,Monthly Oceanic Nino Index,nan,nan,nan,1.0
1950,7,1950-07,-0.54,nan,nan,nan,ONI,Monthly Oceanic Nino Index,nan,nan,nan,1.0
1950,8,1950-08,-0.42,nan,nan,nan,ONI,Monthly Oceanic Nino Index,nan,nan,nan,1.0
1950,9,1950-09,-0.39,nan,nan,nan,ONI,Monthly Oceanic Nino Index,nan,nan,nan,1.0
1950,10,1950-10,-0.44,nan,nan,nan,ONI,Monthly Oceanic Nino Index,nan,nan,nan,1.0
1950,11,1950-11,-0.6,nan,nan,nan,ONI,Monthly Oceanic Nino Index,nan,nan,nan,1.0
1950,12,1950-12,-0.8,nan,nan,nan,ONI,Monthly Oceanic Nino Index,nan,nan,nan,1.0
1951,1,1951-01,-0.82,nan,nan,nan,ONI,Monthly Oceanic Nino Index,nan,nan,nan,1.0
1951,2,1951-02,-0.54,nan,nan,nan,ONI,Monthly Oceanic Nino Index,nan,nan,nan,1.0
1951,3,1951-03,-0.17,nan,nan,nan,ONI,Monthly Oceanic Nino Index,nan,nan,nan,1.0
1951,4,1951-04,0.18,nan,nan,nan,ONI,Monthly Oceanic Nino Index,nan,nan,nan,1.0
1951,5,1951-05,0.36,nan,nan,nan,ONI,Monthly Oceanic Nino Index,nan,nan,nan,1.0
1951,6,1951-06,0.58,nan,nan,nan,ONI,Monthly Oceanic Nino Index,nan,nan,nan,1.0
1951,7,1951-07,0.7,nan,nan,nan,ONI,Monthly Oceanic Nino Index,nan,nan,nan,1.0
1951,8,1951-08,0.89,nan,nan,nan,ONI,Monthly Oceanic Nino Index,nan,nan,nan,1.0
1951,9,1951-09,0.99,nan,nan,nan,ONI,Monthly Oceanic Nino Index,nan,nan,nan,1.0
1951,10,1951-10,1.15,nan,nan,nan,ONI,Monthly Oceanic Nino Index,nan,nan,nan,1.0
