year,time,index,error,SElo,SEup,metric,timeseries,lat,lon,depth,order
1988,1988,2.1186992955135335,1.8808212151696353,0.23787808034389823,3.999520510683169,BEUTI (mmol s^-1 m^-1),Winter BEUTI (45 °N),45.0,nan,nan,1.0
1989,1989,-2.864402457757297,7.37007380982079,-10.234476267578087,4.505671352063493,BEUTI (mmol s^-1 m^-1),Winter BEUTI (45 °N),45.0,nan,nan,1.0
1990,1990,-1.1348248847926274,2.9175476878289808,-4.052372572621608,1.7827228030363533,BEUTI (mmol s^-1 m^-1),Winter BEUTI (45 °N),45.0,nan,nan,1.0
1991,1991,-2.0178678955453155,3.5787090659539462,-5.596576961499261,1.5608411704086307,BEUTI (mmol s^-1 m^-1),Winter BEUTI (45 °N),45.0,nan,nan,1.0
1992,1992,-2.871032628846866,4.8080521413660025,-7.679084770212869,1.9370195125191363,BEUTI (mmol s^-1 m^-1),Winter BEUTI (45 °N),45.0,nan,nan,1.0
1993,1993,-1.8882457757296465,2.142603107742428,-4.030848883472075,0.25435733201278166,BEUTI (mmol s^-1 m^-1),Winter BEUTI (45 °N),45.0,nan,nan,1.0
1994,1994,-2.4808997695852537,2.992025076192005,-5.472924845777259,0.5111253066067514,BEUTI (mmol s^-1 m^-1),Winter BEUTI (45 °N),45.0,nan,nan,1.0
1995,1995,-5.231469662058371,3.4406273769151197,-8.67209703897349,-1.7908422851432517,BEUTI (mmol s^-1 m^-1),Winter BEUTI (45 °N),45.0,nan,nan,1.0
1996,1996,-1.192874304783092,1.7583456531642712,-2.9512199579473632,0.5654713483811791,BEUTI (mmol s^-1 m^-1),Winter BEUTI (45 °N),45.0,nan,nan,1.0
1997,1997,-1.3228110599078342,2.7801024136832893,-4.102913473591124,1.457291353775455,BEUTI (mmol s^-1 m^-1),Winter BEUTI (45 °N),45.0,nan,nan,1.0
1998,1998,-1.3750591397849463,1.273442110226924,-2.6485012500118703,-0.10161702955802232,BEUTI (mmol s^-1 m^-1),Winter BEUTI (45 °N),45.0,nan,nan,1.0
1999,1999,-11.307660906298004,9.351435762589498,-20.6590966688875,-1.9562251437085063,BEUTI (mmol s^-1 m^-1),Winter BEUTI (45 °N),45.0,nan,nan,1.0
2000,2000,-1.9252706711160545,4.0782212796839765,-6.003491950800031,2.152950608567922,BEUTI (mmol s^-1 m^-1),Winter BEUTI (45 °N),45.0,nan,nan,1.0
2001,2001,0.9734066820276492,6.684645887098749,-5.7112392050711,7.658052569126398,BEUTI (mmol s^-1 m^-1),Winter BEUTI (45 °N),45.0,nan,nan,1.0
2002,2002,0.6353682795698924,2.432820996510483,-1.7974527169405907,3.0681892760803753,BEUTI (mmol s^-1 m^-1),Winter BEUTI (45 °N),45.0,nan,nan,1.0
2003,2003,-1.2269228110599075,1.9267372084340826,-3.15366001949399,0.6998143973741751,BEUTI (mmol s^-1 m^-1),Winter BEUTI (45 °N),45.0,nan,nan,1.0
2004,2004,-1.1017534297367446,2.992008105610409,-4.093761535347154,1.8902546758736645,BEUTI (mmol s^-1 m^-1),Winter BEUTI (45 °N),45.0,nan,nan,1.0
2005,2005,-1.5447384792626728,3.0053678962607377,-4.550106375523411,1.460629416998065,BEUTI (mmol s^-1 m^-1),Winter BEUTI (45 °N),45.0,nan,nan,1.0
