year,month,time,index,error,SElo,SEup,metric,timeseries,lat,lon,depth,order
1988,1,1988-01,-0.016290322580645132,nan,nan,nan,CUTI (m^2 s^{-1}),Monthly CUTI (45 °N),45.0,nan,nan,1.0
1988,2,1988-02,0.26155172413793104,nan,nan,nan,CUTI (m^2 s^{-1}),Monthly CUTI (45 °N),45.0,nan,nan,1.0
1988,3,1988-03,0.1956451612903226,nan,nan,nan,CUTI (m^2 s^{-1}),Monthly CUTI (45 °N),45.0,nan,nan,1.0
1988,4,1988-04,0.1258,nan,nan,nan,CUTI (m^2 s^{-1}),Monthly CUTI (45 °N),45.0,nan,nan,1.0
1988,5,1988-05,-0.001354838709677417,nan,nan,nan,CUTI (m^2 s^{-1}),Monthly CUTI (45 °N),45.0,nan,nan,1.0
1988,6,1988-06,0.4013999999999999,nan,nan,nan,CUTI (m^2 s^{-1}),Monthly CUTI (45 °N),45.0,nan,nan,1.0
1988,7,1988-07,0.7791935483870968,nan,nan,nan,CUTI (m^2 s^{-1}),Monthly CUTI (45 °N),45.0,nan,nan,1.0
1988,8,1988-08,0.6899677419354838,nan,nan,nan,CUTI (m^2 s^{-1}),Monthly CUTI (45 °N),45.0,nan,nan,1.0
1988,9,1988-09,0.49529999999999996,nan,nan,nan,CUTI (m^2 s^{-1}),Monthly CUTI (45 °N),45.0,nan,nan,1.0
1988,10,1988-10,0.2752903225806452,nan,nan,nan,CUTI (m^2 s^{-1}),Monthly CUTI (45 °N),45.0,nan,nan,1.0
1988,11,1988-11,-0.37826666666666664,nan,nan,nan,CUTI (m^2 s^{-1}),Monthly CUTI (45 °N),45.0,nan,nan,1.0
1988,12,1988-12,0.31867741935483873,nan,nan,nan,CUTI (m^2 s^{-1}),Monthly CUTI (45 °N),45.0,nan,nan,1.0
1989,1,1989-01,0.19025806451612903,nan,nan,nan,CUTI (m^2 s^{-1}),Monthly CUTI (45 °N),45.0,nan,nan,1.0
1989,2,1989-02,0.045214285714285686,nan,nan,nan,CUTI (m^2 s^{-1}),Monthly CUTI (45 °N),45.0,nan,nan,1.0
1989,3,1989-03,-0.4737419354838709,nan,nan,nan,CUTI (m^2 s^{-1}),Monthly CUTI (45 °N),45.0,nan,nan,1.0
1989,4,1989-04,0.20979999999999996,nan,nan,nan,CUTI (m^2 s^{-1}),Monthly CUTI (45 °N),45.0,nan,nan,1.0
1989,5,1989-05,0.34970967741935477,nan,nan,nan,CUTI (m^2 s^{-1}),Monthly CUTI (45 °N),45.0,nan,nan,1.0
1989,6,1989-06,0.40896666666666665,nan,nan,nan,CUTI (m^2 s^{-1}),Monthly CUTI (45 °N),45.0,nan,nan,1.0
1989,7,1989-07,0.4469677419354839,nan,nan,nan,CUTI (m^2 s^{-1}),Monthly CUTI (45 °N),45.0,nan,nan,1.0
1989,8,1989-08,0.5329354838709677,nan,nan,nan,CUTI (m^2 s^{-1}),Monthly CUTI (45 °N),45.0,nan,nan,1.0
1989,9,1989-09,0.5126000000000001,nan,nan,nan,CUTI (m^2 s^{-1}),Monthly CUTI (45 °N),45.0,nan,nan,1.0
1989,10,1989-10,-0.08174193548387099,nan,nan,nan,CUTI (m^2 s^{-1}),Monthly CUTI (45 °N),45.0,nan,nan,1.0
1989,11,1989-11,0.06603333333333337,nan,nan,nan,CUTI (m^2 s^{-1}),Monthly CUTI (45 °N),45.0,nan,nan,1.0
1989,12,1989-12,0.14748387096774193,nan,nan,nan,CUTI (m^2 s^{-1}),Monthly CUTI (45 °N),45.0,nan,nan,1.0
1990,1,1990-01,-0.3963870967741936,nan,nan,nan,CUTI (m^2 s^{-1}),Monthly CUTI (45 °N),45.0,nan,nan,1.0
1990,2,1990-02,-0.043607142857142886,nan,nan,nan,CUTI (m^2 s^{-1}),Monthly CUTI (45 °N),45.0,nan,nan,1.0
1990,3,1990-03,0.11674193548387098,nan,nan,nan,CUTI (m^2 s^{-1}),Monthly CUTI (45 °N),45.0,nan,nan,1.0
1990,4,1990-04,0.2749,nan,nan,nan,CUTI (m^2 s^{-1}),Monthly CUTI (45 °N),45.0,nan,nan,1.0
1990,5,1990-05,0.2269677419354839,nan,nan,nan,CUTI (m^2 s^{-1}),Monthly CUTI (45 °N),45.0,nan,nan,1.0
1990,6,1990-06,0.3281666666666666,nan,nan,nan,CUTI (m^2 s^{-1}),Monthly CUTI (45 °N),45.0,nan,nan,1.0
1990,7,1990-07,0.6855806451612904,nan,nan,nan,CUTI (m^2 s^{-1}),Monthly CUTI (45 °N),45.0,nan,nan,1.0
1990,8,1990-08,0.26354838709677414,nan,nan,nan,CUTI (m^2 s^{-1}),Monthly CUTI (45 °N),45.0,nan,nan,1.0
