year,time,index,error,SElo,SEup,metric,timeseries,lat,lon,depth,order
1988,1988,0.14696885428253617,0.14517605821597815,0.0017927960665580223,0.2921449124985143,CUTI (m^2 s^{-1}),Winter CUTI (45 °N),45.0,nan,nan,1.0
1989,1989,-0.07942319508448539,0.34910582380547306,-0.4285290188899584,0.2696826287209877,CUTI (m^2 s^{-1}),Winter CUTI (45 °N),45.0,nan,nan,1.0
1990,1990,-0.10775076804915518,0.26250934159778866,-0.37026010964694384,0.15475857354863348,CUTI (m^2 s^{-1}),Winter CUTI (45 °N),45.0,nan,nan,1.0
1991,1991,-0.08268394777265745,0.15369844839333696,-0.2363823961659944,0.07101450062067952,CUTI (m^2 s^{-1}),Winter CUTI (45 °N),45.0,nan,nan,1.0
1992,1992,-0.23426548016314422,0.5431836183115628,-0.777449098474707,0.3089181381484186,CUTI (m^2 s^{-1}),Winter CUTI (45 °N),45.0,nan,nan,1.0
1993,1993,-0.16834293394777267,0.12219889401401594,-0.2905418279617886,-0.04614403993375672,CUTI (m^2 s^{-1}),Winter CUTI (45 °N),45.0,nan,nan,1.0
1994,1994,-0.1872031490015361,0.2724213002225462,-0.4596244492240823,0.08521815122101009,CUTI (m^2 s^{-1}),Winter CUTI (45 °N),45.0,nan,nan,1.0
1995,1995,-0.5549397081413211,0.3464571690635916,-0.9013968772049127,-0.2084825390777295,CUTI (m^2 s^{-1}),Winter CUTI (45 °N),45.0,nan,nan,1.0
1996,1996,-0.24665628476084522,0.27578576237506586,-0.522442047135911,0.029129477614220634,CUTI (m^2 s^{-1}),Winter CUTI (45 °N),45.0,nan,nan,1.0
1997,1997,-0.10091781874039936,0.2443605187998914,-0.34527833754029075,0.14344270005949206,CUTI (m^2 s^{-1}),Winter CUTI (45 °N),45.0,nan,nan,1.0
1998,1998,-0.6265675883256528,0.5865699746896734,-1.2131375630153263,-0.03999761363597942,CUTI (m^2 s^{-1}),Winter CUTI (45 °N),45.0,nan,nan,1.0
1999,1999,-0.6294585253456222,0.5381722137413555,-1.1676307390869778,-0.0912863116042667,CUTI (m^2 s^{-1}),Winter CUTI (45 °N),45.0,nan,nan,1.0
2000,2000,-0.2414734890619206,0.407093328019005,-0.6485668170809256,0.1656198389570844,CUTI (m^2 s^{-1}),Winter CUTI (45 °N),45.0,nan,nan,1.0
