year,month,time,index,error,SElo,SEup,metric,timeseries,lat,lon,depth,order
1998,1,1998-01,nan,nan,nan,nan,DO (ml/L),Monthly Dissolved Oxygen at 50 m: NH05 (44.65N -124.18W),44.65217107953039,-124.17509826757129,50.0,1.0
1998,2,1998-02,nan,nan,nan,nan,DO (ml/L),Monthly Dissolved Oxygen at 50 m: NH05 (44.65N -124.18W),44.65217107953039,-124.17509826757129,50.0,1.0
1998,3,1998-03,nan,nan,nan,nan,DO (ml/L),Monthly Dissolved Oxygen at 50 m: NH05 (44.65N -124.18W),44.65217107953039,-124.17509826757129,50.0,1.0
1998,4,1998-04,nan,nan,nan,nan,DO (ml/L),Monthly Dissolved Oxygen at 50 m: NH05 (44.65N -124.18W),44.65217107953039,-124.17509826757129,50.0,1.0
1998,5,1998-05,nan,nan,nan,nan,DO (ml/L),Monthly Dissolved Oxygen at 50 m: NH05 (44.65N -124.18W),44.65217107953039,-124.17509826757129,50.0,1.0
1998,6,1998-06,nan,nan,nan,nan,DO (ml/L),Monthly Dissolved Oxygen at 50 m: NH05 (44.65N -124.18W),44.65217107953039,-124.17509826757129,50.0,1.0
1998,7,1998-07,nan,nan,nan,nan,DO (ml/L),Monthly Dissolved Oxygen at 50 m: NH05 (44.65N -124.18W),44.65217107953039,-124.17509826757129,50.0,1.0
1998,8,1998-08,2.24000000953674,0.0,2.24000000953674,2.24000000953674,DO (ml/L),Monthly Dissolved Oxygen at 50 m: NH05 (44.65N -124.18W),44.65217107953039,-124.17509826757129,50.0,1.0
1998,9,1998-09,2.49000000953674,0.0,2.49000000953674,2.49000000953674,DO (ml/L),Monthly Dissolved Oxygen at 50 m: NH05 (44.65N -124.18W),44.65217107953039,-124.17509826757129,50.0,1.0
1998,10,1998-10,nan,nan,nan,nan,DO (ml/L),Monthly Dissolved Oxygen at 50 m: NH05 (44.65N -124.18W),44.65217107953039,-124.17509826757129,50.0,1.0
1998,11,1998-11,4.53000020980835,0.0,4.53000020980835,4.53000020980835,DO (ml/L),Monthly Dissolved Oxygen at 50 m: NH05 (44.65N -124.18W),44.65217107953039,-124.17509826757129,50.0,1.0
1998,12,1998-12,nan,nan,nan,nan,DO (ml/L),Monthly Dissolved Oxygen at 50 m: NH05 (44.65N -124.18W),44.65217107953039,-124.17509826757129,50.0,1.0
1999,1,1999-01,nan,nan,nan,nan,DO (ml/L),Monthly Dissolved Oxygen at 50 m: NH05 (44.65N -124.18W),44.65217107953039,-124.17509826757129,50.0,1.0
1999,2,1999-02,5.80999994277954,0.0,5.80999994277954,5.80999994277954,DO (ml/L),Monthly Dissolved Oxygen at 50 m: NH05 (44.65N -124.18W),44.65217107953039,-124.17509826757129,50.0,1.0
1999,3,1999-03,nan,nan,nan,nan,DO (ml/L),Monthly Dissolved Oxygen at 50 m: NH05 (44.65N -124.18W),44.65217107953039,-124.17509826757129,50.0,1.0
1999,4,1999-04,2.94000005722046,0.0,2.94000005722046,2.94000005722046,DO (ml/L),Monthly Dissolved Oxygen at 50 m: NH05 (44.65N -124.18W),44.65217107953039,-124.17509826757129,50.0,1.0
1999,5,1999-05,nan,nan,nan,nan,DO (ml/L),Monthly Dissolved Oxygen at 50 m: NH05 (44.65N -124.18W),44.65217107953039,-124.17509826757129,50.0,1.0
1999,6,1999-06,nan,nan,nan,nan,DO (ml/L),Monthly Dissolved Oxygen at 50 m: NH05 (44.65N -124.18W),44.65217107953039,-124.17509826757129,50.0,1.0
1999,7,1999-07,1.37999999523163,0.21000003814697,1.16999995708466,1.5900000333786,DO (ml/L),Monthly Dissolved Oxygen at 50 m: NH05 (44.65N -124.18W),44.65217107953039,-124.17509826757129,50.0,1.0
1999,8,1999-08,nan,nan,nan,nan,DO (ml/L),Monthly Dissolved Oxygen at 50 m: NH05 (44.65N -124.18W),44.65217107953039,-124.17509826757129,50.0,1.0
1999,9,1999-09,2.45000004768372,0.0,2.45000004768372,2.45000004768372,DO (ml/L),Monthly Dissolved Oxygen at 50 m: NH05 (44.65N -124.18W),44.65217107953039,-124.17509826757129,50.0,1.0
1999,10,1999-10,nan,nan,nan,nan,DO (ml/L),Monthly Dissolved Oxygen at 50 m: NH05 (44.65N -124.18W),44.65217107953039,-124.17509826757129,50.0,1.0
1999,11,1999-11,5.92000007629395,0.0,5.92000007629395,5.92000007629395,DO (ml/L),Monthly Dissolved Oxygen at 50 m: NH05 (44.65N -124.18W),44.65217107953039,-124.17509826757129,50.0,1.0
1999,12,1999-12,nan,nan,nan,nan,DO (ml/L),Monthly Dissolved Oxygen at 50 m: NH05 (44.65N -124.18W),44.65217107953039,-124.17509826757129,50.0,1.0
2000,1,2000-01,nan,nan,nan,nan,DO (ml/L),Monthly Dissolved Oxygen at 50 m: NH05 (44.65N -124.18W),44.65217107953039,-124.17509826757129,50.0,1.0
2000,2,2000-02,6.19000005722046,0.0,6.19000005722046,6.19000005722046,DO (ml/L),Monthly Dissolved Oxygen at 50 m: NH05 (44.65N -124.18W),44.65217107953039,-124.17509826757129,50.0,1.0
2000,3,2000-03,nan,nan,nan,nan,DO (ml/L),Monthly Dissolved Oxygen at 50 m: NH05 (44.65N -124.18W),44.65217107953039,-124.17509826757129,50.0,1.0
2000,4,2000-04,2.38000011444092,0.0,2.38000011444092,2.38000011444092,DO (ml/L),Monthly Dissolved Oxygen at 50 m: NH05 (44.65N -124.18W),44.65217107953039,-124.17509826757129,50.0,1.0
2000,5,2000-05,nan,nan,nan,nan,DO (ml/L),Monthly Dissolved Oxygen at 50 m: NH05 (44.65N -124.18W),44.65217107953039,-124.17509826757129,50.0,1.0
2000,6,2000-06,nan,nan,nan,nan,DO (ml/L),Monthly Dissolved Oxygen at 50 m: NH05 (44.65N -124.18W),44.65217107953039,-124.17509826757129,50.0,1.0
2000,7,2000-07,1.37000000476837,0.0,1.37000000476837,1.37000000476837,DO (ml/L),Monthly Dissolved Oxygen at 50 m: NH05 (44.65N -124.18W),44.65217107953039,-124.17509826757129,50.0,1.0
2000,8,2000-08,nan,nan,nan,nan,DO (ml/L),Monthly Dissolved Oxygen at 50 m: NH05 (44.65N -124.18W),44.65217107953039,-124.17509826757129,50.0,1.0
2000,9,2000-09,1.37999999523163,0.0,1.37999999523163,1.37999999523163,DO (ml/L),Monthly Dissolved Oxygen at 50 m: NH05 (44.65N -124.18W),44.65217107953039,-124.17509826757129,50.0,1.0
2000,10,2000-10,nan,nan,nan,nan,DO (ml/L),Monthly Dissolved Oxygen at 50 m: NH05 (44.65N -124.18W),44.65217107953039,-124.17509826757129,50.0,1.0
