year,month,time,index,error,SElo,SEup,metric,timeseries,lat,lon,depth,order
1950,2,1950-02,2.194444444444444,0.0,2.194444444444444,2.194444444444444,DO (ml/L),Monthly Dissolved Oxygen at 150 m: 933_300 (32.84N -117.53W),32.84099336134454,-117.5266957955182,150.0,1.0
1950,3,1950-03,2.6980000000000004,0.0,2.6980000000000004,2.6980000000000004,DO (ml/L),Monthly Dissolved Oxygen at 150 m: 933_300 (32.84N -117.53W),32.84099336134454,-117.5266957955182,150.0,1.0
1950,4,1950-04,2.38,0.0,2.38,2.38,DO (ml/L),Monthly Dissolved Oxygen at 150 m: 933_300 (32.84N -117.53W),32.84099336134454,-117.5266957955182,150.0,1.0
1950,5,1950-05,2.3625,0.0,2.3625,2.3625,DO (ml/L),Monthly Dissolved Oxygen at 150 m: 933_300 (32.84N -117.53W),32.84099336134454,-117.5266957955182,150.0,1.0
1950,6,1950-06,2.21,0.0,2.21,2.21,DO (ml/L),Monthly Dissolved Oxygen at 150 m: 933_300 (32.84N -117.53W),32.84099336134454,-117.5266957955182,150.0,1.0
1950,7,1950-07,2.9444000000000004,0.0,2.9444000000000004,2.9444000000000004,DO (ml/L),Monthly Dissolved Oxygen at 150 m: 933_300 (32.84N -117.53W),32.84099336134454,-117.5266957955182,150.0,1.0
1950,8,1950-08,nan,nan,nan,nan,DO (ml/L),Monthly Dissolved Oxygen at 150 m: 933_300 (32.84N -117.53W),32.84099336134454,-117.5266957955182,150.0,1.0
1950,9,1950-09,nan,nan,nan,nan,DO (ml/L),Monthly Dissolved Oxygen at 150 m: 933_300 (32.84N -117.53W),32.84099336134454,-117.5266957955182,150.0,1.0
1950,10,1950-10,nan,nan,nan,nan,DO (ml/L),Monthly Dissolved Oxygen at 150 m: 933_300 (32.84N -117.53W),32.84099336134454,-117.5266957955182,150.0,1.0
1950,11,1950-11,nan,nan,nan,nan,DO (ml/L),Monthly Dissolved Oxygen at 150 m: 933_300 (32.84N -117.53W),32.84099336134454,-117.5266957955182,150.0,1.0
1950,12,1950-12,nan,nan,nan,nan,DO (ml/L),Monthly Dissolved Oxygen at 150 m: 933_300 (32.84N -117.53W),32.84099336134454,-117.5266957955182,150.0,1.0
1951,1,1951-01,2.5652,0.0,2.5652,2.5652,DO (ml/L),Monthly Dissolved Oxygen at 150 m: 933_300 (32.84N -117.53W),32.84099336134454,-117.5266957955182,150.0,1.0
1951,2,1951-02,2.395,0.0,2.395,2.395,DO (ml/L),Monthly Dissolved Oxygen at 150 m: 933_300 (32.84N -117.53W),32.84099336134454,-117.5266957955182,150.0,1.0
1951,3,1951-03,2.4036,0.0,2.4036,2.4036,DO (ml/L),Monthly Dissolved Oxygen at 150 m: 933_300 (32.84N -117.53W),32.84099336134454,-117.5266957955182,150.0,1.0
1951,4,1951-04,2.6652,0.0,2.6652,2.6652,DO (ml/L),Monthly Dissolved Oxygen at 150 m: 933_300 (32.84N -117.53W),32.84099336134454,-117.5266957955182,150.0,1.0
1951,5,1951-05,2.09,0.0,2.09,2.09,DO (ml/L),Monthly Dissolved Oxygen at 150 m: 933_300 (32.84N -117.53W),32.84099336134454,-117.5266957955182,150.0,1.0
1951,6,1951-06,nan,nan,nan,nan,DO (ml/L),Monthly Dissolved Oxygen at 150 m: 933_300 (32.84N -117.53W),32.84099336134454,-117.5266957955182,150.0,1.0
1951,7,1951-07,nan,nan,nan,nan,DO (ml/L),Monthly Dissolved Oxygen at 150 m: 933_300 (32.84N -117.53W),32.84099336134454,-117.5266957955182,150.0,1.0
1951,8,1951-08,2.0218181818181815,0.0,2.0218181818181815,2.0218181818181815,DO (ml/L),Monthly Dissolved Oxygen at 150 m: 933_300 (32.84N -117.53W),32.84099336134454,-117.5266957955182,150.0,1.0
1951,9,1951-09,2.6996,0.0,2.6996,2.6996,DO (ml/L),Monthly Dissolved Oxygen at 150 m: 933_300 (32.84N -117.53W),32.84099336134454,-117.5266957955182,150.0,1.0
1951,10,1951-10,nan,nan,nan,nan,DO (ml/L),Monthly Dissolved Oxygen at 150 m: 933_300 (32.84N -117.53W),32.84099336134454,-117.5266957955182,150.0,1.0
1951,11,1951-11,2.2136,0.0,2.2136,2.2136,DO (ml/L),Monthly Dissolved Oxygen at 150 m: 933_300 (32.84N -117.53W),32.84099336134454,-117.5266957955182,150.0,1.0
1951,12,1951-12,2.4066666666666667,0.0,2.4066666666666667,2.4066666666666667,DO (ml/L),Monthly Dissolved Oxygen at 150 m: 933_300 (32.84N -117.53W),32.84099336134454,-117.5266957955182,150.0,1.0
1952,1,1952-01,nan,nan,nan,nan,DO (ml/L),Monthly Dissolved Oxygen at 150 m: 933_300 (32.84N -117.53W),32.84099336134454,-117.5266957955182,150.0,1.0
1952,2,1952-02,2.81,0.0,2.81,2.81,DO (ml/L),Monthly Dissolved Oxygen at 150 m: 933_300 (32.84N -117.53W),32.84099336134454,-117.5266957955182,150.0,1.0
1952,3,1952-03,2.265,0.0,2.265,2.265,DO (ml/L),Monthly Dissolved Oxygen at 150 m: 933_300 (32.84N -117.53W),32.84099336134454,-117.5266957955182,150.0,1.0
1952,4,1952-04,2.566,0.0,2.566,2.566,DO (ml/L),Monthly Dissolved Oxygen at 150 m: 933_300 (32.84N -117.53W),32.84099336134454,-117.5266957955182,150.0,1.0
1952,5,1952-05,2.2891999999999997,0.0,2.2891999999999997,2.2891999999999997,DO (ml/L),Monthly Dissolved Oxygen at 150 m: 933_300 (32.84N -117.53W),32.84099336134454,-117.5266957955182,150.0,1.0
1952,6,1952-06,1.93,0.0,1.93,1.93,DO (ml/L),Monthly Dissolved Oxygen at 150 m: 933_300 (32.84N -117.53W),32.84099336134454,-117.5266957955182,150.0,1.0
1952,7,1952-07,2.399,0.0,2.399,2.399,DO (ml/L),Monthly Dissolved Oxygen at 150 m: 933_300 (32.84N -117.53W),32.84099336134454,-117.5266957955182,150.0,1.0
1952,8,1952-08,2.9899999999999998,0.0,2.9899999999999998,2.9899999999999998,DO (ml/L),Monthly Dissolved Oxygen at 150 m: 933_300 (32.84N -117.53W),32.84099336134454,-117.5266957955182,150.0,1.0
1952,9,1952-09,1.99,0.0,1.99,1.99,DO (ml/L),Monthly Dissolved Oxygen at 150 m: 933_300 (32.84N -117.53W),32.84099336134454,-117.5266957955182,150.0,1.0
1952,10,1952-10,2.2164,0.0,2.2164,2.2164,DO (ml/L),Monthly Dissolved Oxygen at 150 m: 933_300 (32.84N -117.53W),32.84099336134454,-117.5266957955182,150.0,1.0
1952,11,1952-11,2.39,0.0,2.39,2.39,DO (ml/L),Monthly Dissolved Oxygen at 150 m: 933_300 (32.84N -117.53W),32.84099336134454,-117.5266957955182,150.0,1.0
1952,12,1952-12,nan,nan,nan,nan,DO (ml/L),Monthly Dissolved Oxygen at 150 m: 933_300 (32.84N -117.53W),32.84099336134454,-117.5266957955182,150.0,1.0
1953,1,1953-01,2.1696,0.0,2.1696,2.1696,DO (ml/L),Monthly Dissolved Oxygen at 150 m: 933_300 (32.84N -117.53W),32.84099336134454,-117.5266957955182,150.0,1.0
1953,2,1953-02,2.454,0.0,2.454,2.454,DO (ml/L),Monthly Dissolved Oxygen at 150 m: 933_300 (32.84N -117.53W),32.84099336134454,-117.5266957955182,150.0,1.0
1953,3,1953-03,2.1312,0.0,2.1312,2.1312,DO (ml/L),Monthly Dissolved Oxygen at 150 m: 933_300 (32.84N -117.53W),32.84099336134454,-117.5266957955182,150.0,1.0
1953,4,1953-04,1.8975,0.0,1.8975,1.8975,DO (ml/L),Monthly Dissolved Oxygen at 150 m: 933_300 (32.84N -117.53W),32.84099336134454,-117.5266957955182,150.0,1.0
1953,5,1953-05,2.2416,0.0,2.2416,2.2416,DO (ml/L),Monthly Dissolved Oxygen at 150 m: 933_300 (32.84N -117.53W),32.84099336134454,-117.5266957955182,150.0,1.0
