year,time,index,error,SElo,SEup,metric,timeseries,lat,lon,depth,order
1967,1967,354.0,0.0,354.0,354.0,FTI (yearday),Fall Transition Index @ 33N,33.0,0.0,0.0,1.0
1968,1968,364.0,0.0,364.0,364.0,FTI (yearday),Fall Transition Index @ 33N,33.0,0.0,0.0,1.0
1969,1969,363.0,0.0,363.0,363.0,FTI (yearday),Fall Transition Index @ 33N,33.0,0.0,0.0,1.0
1970,1970,364.0,0.0,364.0,364.0,FTI (yearday),Fall Transition Index @ 33N,33.0,0.0,0.0,1.0
1971,1971,349.0,0.0,349.0,349.0,FTI (yearday),Fall Transition Index @ 33N,33.0,0.0,0.0,1.0
1972,1972,365.0,0.0,365.0,365.0,FTI (yearday),Fall Transition Index @ 33N,33.0,0.0,0.0,1.0
1973,1973,365.0,0.0,365.0,365.0,FTI (yearday),Fall Transition Index @ 33N,33.0,0.0,0.0,1.0
1974,1974,357.0,0.0,357.0,357.0,FTI (yearday),Fall Transition Index @ 33N,33.0,0.0,0.0,1.0
1975,1975,365.0,0.0,365.0,365.0,FTI (yearday),Fall Transition Index @ 33N,33.0,0.0,0.0,1.0
1976,1976,331.0,0.0,331.0,331.0,FTI (yearday),Fall Transition Index @ 33N,33.0,0.0,0.0,1.0
1977,1977,353.0,0.0,353.0,353.0,FTI (yearday),Fall Transition Index @ 33N,33.0,0.0,0.0,1.0
1978,1978,341.0,0.0,341.0,341.0,FTI (yearday),Fall Transition Index @ 33N,33.0,0.0,0.0,1.0
1979,1979,331.0,0.0,331.0,331.0,FTI (yearday),Fall Transition Index @ 33N,33.0,0.0,0.0,1.0
1980,1980,329.0,0.0,329.0,329.0,FTI (yearday),Fall Transition Index @ 33N,33.0,0.0,0.0,1.0
1981,1981,365.0,0.0,365.0,365.0,FTI (yearday),Fall Transition Index @ 33N,33.0,0.0,0.0,1.0
1982,1982,361.0,0.0,361.0,361.0,FTI (yearday),Fall Transition Index @ 33N,33.0,0.0,0.0,1.0
1983,1983,356.0,0.0,356.0,356.0,FTI (yearday),Fall Transition Index @ 33N,33.0,0.0,0.0,1.0
1984,1984,351.0,0.0,351.0,351.0,FTI (yearday),Fall Transition Index @ 33N,33.0,0.0,0.0,1.0
1985,1985,347.0,0.0,347.0,347.0,FTI (yearday),Fall Transition Index @ 33N,33.0,0.0,0.0,1.0
1986,1986,363.0,0.0,363.0,363.0,FTI (yearday),Fall Transition Index @ 33N,33.0,0.0,0.0,1.0
1987,1987,348.0,0.0,348.0,348.0,FTI (yearday),Fall Transition Index @ 33N,33.0,0.0,0.0,1.0
1988,1988,365.0,0.0,365.0,365.0,FTI (yearday),Fall Transition Index @ 33N,33.0,0.0,0.0,1.0
1989,1989,365.0,0.0,365.0,365.0,FTI (yearday),Fall Transition Index @ 33N,33.0,0.0,0.0,1.0
1990,1990,356.0,0.0,356.0,356.0,FTI (yearday),Fall Transition Index @ 33N,33.0,0.0,0.0,1.0
1991,1991,354.0,0.0,354.0,354.0,FTI (yearday),Fall Transition Index @ 33N,33.0,0.0,0.0,1.0
1992,1992,365.0,0.0,365.0,365.0,FTI (yearday),Fall Transition Index @ 33N,33.0,0.0,0.0,1.0
1993,1993,351.0,0.0,351.0,351.0,FTI (yearday),Fall Transition Index @ 33N,33.0,0.0,0.0,1.0
1994,1994,364.0,0.0,364.0,364.0,FTI (yearday),Fall Transition Index @ 33N,33.0,0.0,0.0,1.0
1995,1995,365.0,0.0,365.0,365.0,FTI (yearday),Fall Transition Index @ 33N,33.0,0.0,0.0,1.0
1996,1996,348.0,0.0,348.0,348.0,FTI (yearday),Fall Transition Index @ 33N,33.0,0.0,0.0,1.0
1997,1997,336.0,0.0,336.0,336.0,FTI (yearday),Fall Transition Index @ 33N,33.0,0.0,0.0,1.0
1998,1998,357.0,0.0,357.0,357.0,FTI (yearday),Fall Transition Index @ 33N,33.0,0.0,0.0,1.0
1999,1999,348.0,0.0,348.0,348.0,FTI (yearday),Fall Transition Index @ 33N,33.0,0.0,0.0,1.0
2000,2000,350.0,0.0,350.0,350.0,FTI (yearday),Fall Transition Index @ 33N,33.0,0.0,0.0,1.0
2001,2001,358.0,0.0,358.0,358.0,FTI (yearday),Fall Transition Index @ 33N,33.0,0.0,0.0,1.0
2002,2002,365.0,0.0,365.0,365.0,FTI (yearday),Fall Transition Index @ 33N,33.0,0.0,0.0,1.0
2003,2003,330.0,0.0,330.0,330.0,FTI (yearday),Fall Transition Index @ 33N,33.0,0.0,0.0,1.0
2004,2004,361.0,0.0,361.0,361.0,FTI (yearday),Fall Transition Index @ 33N,33.0,0.0,0.0,1.0
2005,2005,365.0,0.0,365.0,365.0,FTI (yearday),Fall Transition Index @ 33N,33.0,0.0,0.0,1.0
