year,time,index,error,SElo,SEup,metric,timeseries,lat,lon,depth,order
1982,1982,0.48899475867402414,0.05919884639747808,0.42979591227654607,0.5481936050715022,Habitat Area (fraction below monthly threshold),Winter Habitat Compression Index over 35.5-40N,nan,nan,0.0,1.0
1983,1983,0.0,0.0,0.0,0.0,Habitat Area (fraction below monthly threshold),Winter Habitat Compression Index over 35.5-40N,nan,nan,0.0,1.0
1984,1984,0.13634622573196079,0.09164446306108553,0.04470176267087525,0.22799068879304632,Habitat Area (fraction below monthly threshold),Winter Habitat Compression Index over 35.5-40N,nan,nan,0.0,1.0
1985,1985,0.7045982022562768,0.22605466005907876,0.478543542197198,0.9306528623153556,Habitat Area (fraction below monthly threshold),Winter Habitat Compression Index over 35.5-40N,nan,nan,0.0,1.0
1986,1986,0.08036478145634081,0.10857309727433212,-0.02820831581799131,0.18893787873067291,Habitat Area (fraction below monthly threshold),Winter Habitat Compression Index over 35.5-40N,nan,nan,0.0,1.0
1987,1987,0.3201663261665545,0.10831360157380335,0.21185272459275115,0.4284799277403578,Habitat Area (fraction below monthly threshold),Winter Habitat Compression Index over 35.5-40N,nan,nan,0.0,1.0
1988,1988,0.6906562801650766,0.1016040730866554,0.5890522070784212,0.792260353251732,Habitat Area (fraction below monthly threshold),Winter Habitat Compression Index over 35.5-40N,nan,nan,0.0,1.0
1989,1989,0.9770322072131891,0.03248136405688297,0.9445508431563061,1.009513571270072,Habitat Area (fraction below monthly threshold),Winter Habitat Compression Index over 35.5-40N,nan,nan,0.0,1.0
1990,1990,0.7370786099062699,0.22000510089266948,0.5170735090136005,0.9570837107989394,Habitat Area (fraction below monthly threshold),Winter Habitat Compression Index over 35.5-40N,nan,nan,0.0,1.0
1991,1991,0.7687208004266983,0.013002685660170715,0.7557181147665276,0.781723486086869,Habitat Area (fraction below monthly threshold),Winter Habitat Compression Index over 35.5-40N,nan,nan,0.0,1.0
1992,1992,0.16981241014483642,0.24015101348609022,-0.0703386033412538,0.40996342363092664,Habitat Area (fraction below monthly threshold),Winter Habitat Compression Index over 35.5-40N,nan,nan,0.0,1.0
1993,1993,0.3669467072566495,0.13948230480102095,0.22746440245562857,0.5064290120576704,Habitat Area (fraction below monthly threshold),Winter Habitat Compression Index over 35.5-40N,nan,nan,0.0,1.0
1994,1994,0.2611478251944914,0.13825831909046132,0.1228895061040301,0.39940614428495275,Habitat Area (fraction below monthly threshold),Winter Habitat Compression Index over 35.5-40N,nan,nan,0.0,1.0
1995,1995,0.1611823674591819,0.1837167292179123,-0.022534361758730387,0.3448990966770942,Habitat Area (fraction below monthly threshold),Winter Habitat Compression Index over 35.5-40N,nan,nan,0.0,1.0
1996,1996,0.08524174086172732,0.09088165025352436,-0.005639909391797038,0.1761233911152517,Habitat Area (fraction below monthly threshold),Winter Habitat Compression Index over 35.5-40N,nan,nan,0.0,1.0
1997,1997,0.4100556559639886,0.2998185713949324,0.11023708456905618,0.7098742273589209,Habitat Area (fraction below monthly threshold),Winter Habitat Compression Index over 35.5-40N,nan,nan,0.0,1.0
1998,1998,0.012068230745450265,0.017067055594063733,-0.004998824848613468,0.029135286339513997,Habitat Area (fraction below monthly threshold),Winter Habitat Compression Index over 35.5-40N,nan,nan,0.0,1.0
1999,1999,0.9846934992857653,0.021646660902544114,0.9630468383832212,1.0063401601883095,Habitat Area (fraction below monthly threshold),Winter Habitat Compression Index over 35.5-40N,nan,nan,0.0,1.0
2000,2000,0.7069127293497498,0.19796253345803622,0.5089501958917135,0.9048752628077861,Habitat Area (fraction below monthly threshold),Winter Habitat Compression Index over 35.5-40N,nan,nan,0.0,1.0
2001,2001,0.814626340629086,0.12519368914530635,0.6894326514837796,0.9398200297743924,Habitat Area (fraction below monthly threshold),Winter Habitat Compression Index over 35.5-40N,nan,nan,0.0,1.0
2002,2002,0.9667903779000538,0.025280712825207798,0.941509665074846,0.9920710907252617,Habitat Area (fraction below monthly threshold),Winter Habitat Compression Index over 35.5-40N,nan,nan,0.0,1.0
