year,time,index,error,SElo,SEup,metric,timeseries,lat,lon,depth,order
1967,1967,336.0,0.0,336.0,336.0,LUSI (days),Length of Upwelling Season Index @ 33N,33.0,0.0,0.0,1.0
1968,1968,341.0,0.0,341.0,341.0,LUSI (days),Length of Upwelling Season Index @ 33N,33.0,0.0,0.0,1.0
1969,1969,357.0,0.0,357.0,357.0,LUSI (days),Length of Upwelling Season Index @ 33N,33.0,0.0,0.0,1.0
1970,1970,355.0,0.0,355.0,355.0,LUSI (days),Length of Upwelling Season Index @ 33N,33.0,0.0,0.0,1.0
1971,1971,349.0,0.0,349.0,349.0,LUSI (days),Length of Upwelling Season Index @ 33N,33.0,0.0,0.0,1.0
1972,1972,350.0,0.0,350.0,350.0,LUSI (days),Length of Upwelling Season Index @ 33N,33.0,0.0,0.0,1.0
1973,1973,365.0,0.0,365.0,365.0,LUSI (days),Length of Upwelling Season Index @ 33N,33.0,0.0,0.0,1.0
1974,1974,342.0,0.0,342.0,342.0,LUSI (days),Length of Upwelling Season Index @ 33N,33.0,0.0,0.0,1.0
1975,1975,363.0,0.0,363.0,363.0,LUSI (days),Length of Upwelling Season Index @ 33N,33.0,0.0,0.0,1.0
1976,1976,310.0,0.0,310.0,310.0,LUSI (days),Length of Upwelling Season Index @ 33N,33.0,0.0,0.0,1.0
1977,1977,352.0,0.0,352.0,352.0,LUSI (days),Length of Upwelling Season Index @ 33N,33.0,0.0,0.0,1.0
1978,1978,326.0,0.0,326.0,326.0,LUSI (days),Length of Upwelling Season Index @ 33N,33.0,0.0,0.0,1.0
1979,1979,324.0,0.0,324.0,324.0,LUSI (days),Length of Upwelling Season Index @ 33N,33.0,0.0,0.0,1.0
1980,1980,282.0,0.0,282.0,282.0,LUSI (days),Length of Upwelling Season Index @ 33N,33.0,0.0,0.0,1.0
1981,1981,343.0,0.0,343.0,343.0,LUSI (days),Length of Upwelling Season Index @ 33N,33.0,0.0,0.0,1.0
1982,1982,351.0,0.0,351.0,351.0,LUSI (days),Length of Upwelling Season Index @ 33N,33.0,0.0,0.0,1.0
1983,1983,322.0,0.0,322.0,322.0,LUSI (days),Length of Upwelling Season Index @ 33N,33.0,0.0,0.0,1.0
1984,1984,347.0,0.0,347.0,347.0,LUSI (days),Length of Upwelling Season Index @ 33N,33.0,0.0,0.0,1.0
1985,1985,341.0,0.0,341.0,341.0,LUSI (days),Length of Upwelling Season Index @ 33N,33.0,0.0,0.0,1.0
1986,1986,351.0,0.0,351.0,351.0,LUSI (days),Length of Upwelling Season Index @ 33N,33.0,0.0,0.0,1.0
1987,1987,348.0,0.0,348.0,348.0,LUSI (days),Length of Upwelling Season Index @ 33N,33.0,0.0,0.0,1.0
1988,1988,361.0,0.0,361.0,361.0,LUSI (days),Length of Upwelling Season Index @ 33N,33.0,0.0,0.0,1.0
1989,1989,363.0,0.0,363.0,363.0,LUSI (days),Length of Upwelling Season Index @ 33N,33.0,0.0,0.0,1.0
1990,1990,356.0,0.0,356.0,356.0,LUSI (days),Length of Upwelling Season Index @ 33N,33.0,0.0,0.0,1.0
1991,1991,349.0,0.0,349.0,349.0,LUSI (days),Length of Upwelling Season Index @ 33N,33.0,0.0,0.0,1.0
1992,1992,361.0,0.0,361.0,361.0,LUSI (days),Length of Upwelling Season Index @ 33N,33.0,0.0,0.0,1.0
1993,1993,334.0,0.0,334.0,334.0,LUSI (days),Length of Upwelling Season Index @ 33N,33.0,0.0,0.0,1.0
1994,1994,364.0,0.0,364.0,364.0,LUSI (days),Length of Upwelling Season Index @ 33N,33.0,0.0,0.0,1.0
1995,1995,341.0,0.0,341.0,341.0,LUSI (days),Length of Upwelling Season Index @ 33N,33.0,0.0,0.0,1.0
1996,1996,348.0,0.0,348.0,348.0,LUSI (days),Length of Upwelling Season Index @ 33N,33.0,0.0,0.0,1.0
1997,1997,336.0,0.0,336.0,336.0,LUSI (days),Length of Upwelling Season Index @ 33N,33.0,0.0,0.0,1.0
1998,1998,319.0,0.0,319.0,319.0,LUSI (days),Length of Upwelling Season Index @ 33N,33.0,0.0,0.0,1.0
1999,1999,338.0,0.0,338.0,338.0,LUSI (days),Length of Upwelling Season Index @ 33N,33.0,0.0,0.0,1.0
2000,2000,350.0,0.0,350.0,350.0,LUSI (days),Length of Upwelling Season Index @ 33N,33.0,0.0,0.0,1.0
2001,2001,353.0,0.0,353.0,353.0,LUSI (days),Length of Upwelling Season Index @ 33N,33.0,0.0,0.0,1.0
2002,2002,359.0,0.0,359.0,359.0,LUSI (days),Length of Upwelling Season Index @ 33N,33.0,0.0,0.0,1.0
2003,2003,287.0,0.0,287.0,287.0,LUSI (days),Length of Upwelling Season Index @ 33N,33.0,0.0,0.0,1.0
2004,2004,348.0,0.0,348.0,348.0,LUSI (days),Length of Upwelling Season Index @ 33N,33.0,0.0,0.0,1.0
2005,2005,356.0,0.0,356.0,356.0,LUSI (days),Length of Upwelling Season Index @ 33N,33.0,0.0,0.0,1.0
2006,2006,365.0,0.0,365.0,365.0,LUSI (days),Length of Upwelling Season Index @ 33N,33.0,0.0,0.0,1.0
2007,2007,363.0,0.0,363.0,363.0,LUSI (days),Length of Upwelling Season Index @ 33N,33.0,0.0,0.0,1.0
2008,2008,339.0,0.0,339.0,339.0,LUSI (days),Length of Upwelling Season Index @ 33N,33.0,0.0,0.0,1.0
2009,2009,365.0,0.0,365.0,365.0,LUSI (days),Length of Upwelling Season Index @ 33N,33.0,0.0,0.0,1.0
2010,2010,345.0,0.0,345.0,345.0,LUSI (days),Length of Upwelling Season Index @ 33N,33.0,0.0,0.0,1.0
2011,2011,360.0,0.0,360.0,360.0,LUSI (days),Length of Upwelling Season Index @ 33N,33.0,0.0,0.0,1.0
2012,2012,365.0,0.0,365.0,365.0,LUSI (days),Length of Upwelling Season Index @ 33N,33.0,0.0,0.0,1.0
2013,2013,339.0,0.0,339.0,339.0,LUSI (days),Length of Upwelling Season Index @ 33N,33.0,0.0,0.0,1.0
2014,2014,322.0,0.0,322.0,322.0,LUSI (days),Length of Upwelling Season Index @ 33N,33.0,0.0,0.0,1.0
2015,2015,336.0,0.0,336.0,336.0,LUSI (days),Length of Upwelling Season Index @ 33N,33.0,0.0,0.0,1.0
2016,2016,356.0,0.0,356.0,356.0,LUSI (days),Length of Upwelling Season Index @ 33N,33.0,0.0,0.0,1.0
2017,2017,365.0,0.0,365.0,365.0,LUSI (days),Length of Upwelling Season Index @ 33N,33.0,0.0,0.0,1.0
2018,2018,365.0,0.0,365.0,365.0,LUSI (days),Length of Upwelling Season Index @ 33N,33.0,0.0,0.0,1.0
2019,2019,335.0,0.0,335.0,335.0,LUSI (days),Length of Upwelling Season Index @ 33N,33.0,0.0,0.0,1.0
2020,2020,365.0,0.0,365.0,365.0,LUSI (days),Length of Upwelling Season Index @ 33N,33.0,0.0,0.0,1.0
2021,2021,342.0,0.0,342.0,342.0,LUSI (days),Length of Upwelling Season Index @ 33N,33.0,0.0,0.0,1.0
2022,2022,364.0,0.0,364.0,364.0,LUSI (days),Length of Upwelling Season Index @ 33N,33.0,0.0,0.0,1.0
2023,2023,338.0,0.0,338.0,338.0,LUSI (days),Length of Upwelling Season Index @ 33N,33.0,0.0,0.0,1.0
2024,2024,365.0,0.0,365.0,365.0,LUSI (days),Length of Upwelling Season Index @ 33N,33.0,0.0,0.0,1.0
1967,1967,278.0,0.0,278.0,278.0,LUSI (days),Length of Upwelling Season Index @ 39N,39.0,0.0,0.0,2.0
1968,1968,217.0,0.0,217.0,217.0,LUSI (days),Length of Upwelling Season Index @ 39N,39.0,0.0,0.0,2.0
1969,1969,273.0,0.0,273.0,273.0,LUSI (days),Length of Upwelling Season Index @ 39N,39.0,0.0,0.0,2.0
1970,1970,219.0,0.0,219.0,219.0,LUSI (days),Length of Upwelling Season Index @ 39N,39.0,0.0,0.0,2.0
1971,1971,333.0,0.0,333.0,333.0,LUSI (days),Length of Upwelling Season Index @ 39N,39.0,0.0,0.0,2.0
1972,1972,234.0,0.0,234.0,234.0,LUSI (days),Length of Upwelling Season Index @ 39N,39.0,0.0,0.0,2.0
1973,1973,244.0,0.0,244.0,244.0,LUSI (days),Length of Upwelling Season Index @ 39N,39.0,0.0,0.0,2.0
1974,1974,305.0,0.0,305.0,305.0,LUSI (days),Length of Upwelling Season Index @ 39N,39.0,0.0,0.0,2.0
1975,1975,299.0,0.0,299.0,299.0,LUSI (days),Length of Upwelling Season Index @ 39N,39.0,0.0,0.0,2.0
1976,1976,355.0,0.0,355.0,355.0,LUSI (days),Length of Upwelling Season Index @ 39N,39.0,0.0,0.0,2.0
1977,1977,322.0,0.0,322.0,322.0,LUSI (days),Length of Upwelling Season Index @ 39N,39.0,0.0,0.0,2.0
1978,1978,299.0,0.0,299.0,299.0,LUSI (days),Length of Upwelling Season Index @ 39N,39.0,0.0,0.0,2.0
1979,1979,238.0,0.0,238.0,238.0,LUSI (days),Length of Upwelling Season Index @ 39N,39.0,0.0,0.0,2.0
1980,1980,268.0,0.0,268.0,268.0,LUSI (days),Length of Upwelling Season Index @ 39N,39.0,0.0,0.0,2.0
1981,1981,249.0,0.0,249.0,249.0,LUSI (days),Length of Upwelling Season Index @ 39N,39.0,0.0,0.0,2.0
1982,1982,189.0,0.0,189.0,189.0,LUSI (days),Length of Upwelling Season Index @ 39N,39.0,0.0,0.0,2.0
1983,1983,213.0,0.0,213.0,213.0,LUSI (days),Length of Upwelling Season Index @ 39N,39.0,0.0,0.0,2.0
1984,1984,296.0,0.0,296.0,296.0,LUSI (days),Length of Upwelling Season Index @ 39N,39.0,0.0,0.0,2.0
1985,1985,298.0,0.0,298.0,298.0,LUSI (days),Length of Upwelling Season Index @ 39N,39.0,0.0,0.0,2.0
1986,1986,271.0,0.0,271.0,271.0,LUSI (days),Length of Upwelling Season Index @ 39N,39.0,0.0,0.0,2.0
1987,1987,238.0,0.0,238.0,238.0,LUSI (days),Length of Upwelling Season Index @ 39N,39.0,0.0,0.0,2.0
1988,1988,348.0,0.0,348.0,348.0,LUSI (days),Length of Upwelling Season Index @ 39N,39.0,0.0,0.0,2.0
1989,1989,272.0,0.0,272.0,272.0,LUSI (days),Length of Upwelling Season Index @ 39N,39.0,0.0,0.0,2.0
1990,1990,353.0,0.0,353.0,353.0,LUSI (days),Length of Upwelling Season Index @ 39N,39.0,0.0,0.0,2.0
1991,1991,285.0,0.0,285.0,285.0,LUSI (days),Length of Upwelling Season Index @ 39N,39.0,0.0,0.0,2.0
1992,1992,277.0,0.0,277.0,277.0,LUSI (days),Length of Upwelling Season Index @ 39N,39.0,0.0,0.0,2.0
1993,1993,177.0,0.0,177.0,177.0,LUSI (days),Length of Upwelling Season Index @ 39N,39.0,0.0,0.0,2.0
1994,1994,282.0,0.0,282.0,282.0,LUSI (days),Length of Upwelling Season Index @ 39N,39.0,0.0,0.0,2.0
1995,1995,238.0,0.0,238.0,238.0,LUSI (days),Length of Upwelling Season Index @ 39N,39.0,0.0,0.0,2.0
1996,1996,250.0,0.0,250.0,250.0,LUSI (days),Length of Upwelling Season Index @ 39N,39.0,0.0,0.0,2.0
1997,1997,272.0,0.0,272.0,272.0,LUSI (days),Length of Upwelling Season Index @ 39N,39.0,0.0,0.0,2.0
1998,1998,257.0,0.0,257.0,257.0,LUSI (days),Length of Upwelling Season Index @ 39N,39.0,0.0,0.0,2.0
