year,month,time,index,error,SElo,SEup,metric,timeseries,lat,lon,depth,order
1983,1,1983-01,0.20101625,0.09118286520242691,0.10983338207006454,0.29219910502433777,heatwave_cover,"Monthly California Current Marine Heatwave, Daily",nan,nan,nan,1.0
1983,2,1983-02,0.29796,0.06409153342247009,0.23386847972869873,0.3620515465736389,heatwave_cover,"Monthly California Current Marine Heatwave, Daily",nan,nan,nan,1.0
1983,3,1983-03,0.26897117,0.1175113245844841,0.15145984292030334,0.38648250699043274,heatwave_cover,"Monthly California Current Marine Heatwave, Daily",nan,nan,nan,1.0
1983,4,1983-04,0.046459828,0.051827237010002136,-0.005367409437894821,0.09828706085681915,heatwave_cover,"Monthly California Current Marine Heatwave, Daily",nan,nan,nan,1.0
1983,5,1983-05,0.09839095,0.08435462415218353,0.014036327600479126,0.1827455759048462,heatwave_cover,"Monthly California Current Marine Heatwave, Daily",nan,nan,nan,1.0
1983,6,1983-06,0.08827897,0.03508772328495979,0.05319124832749367,0.12336669862270355,heatwave_cover,"Monthly California Current Marine Heatwave, Daily",nan,nan,nan,1.0
1983,7,1983-07,0.13624348,0.08231794834136963,0.0539255291223526,0.21856142580509186,heatwave_cover,"Monthly California Current Marine Heatwave, Daily",nan,nan,nan,1.0
1983,8,1983-08,0.2649678,0.06806132197380066,0.19690647721290588,0.3330291211605072,heatwave_cover,"Monthly California Current Marine Heatwave, Daily",nan,nan,nan,1.0
1983,9,1983-09,0.23182179,0.10585657507181168,0.1259652078151703,0.33767837285995483,heatwave_cover,"Monthly California Current Marine Heatwave, Daily",nan,nan,nan,1.0
1983,10,1983-10,0.31033954,0.0686923936009407,0.2416471540927887,0.3790319263935089,heatwave_cover,"Monthly California Current Marine Heatwave, Daily",nan,nan,nan,1.0
1983,11,1983-11,0.42007425,0.13188160955905914,0.28819262981414795,0.5519558787345886,heatwave_cover,"Monthly California Current Marine Heatwave, Daily",nan,nan,nan,1.0
1983,12,1983-12,0.059409242,0.03761639818549156,0.02179284393787384,0.09702564030885696,heatwave_cover,"Monthly California Current Marine Heatwave, Daily",nan,nan,nan,1.0
1984,1,1984-01,0.16734673,0.06385887414216995,0.10348785668611526,0.23120561242103577,heatwave_cover,"Monthly California Current Marine Heatwave, Daily",nan,nan,nan,1.0
1984,2,1984-02,0.13367899,0.09768638014793396,0.03599260747432709,0.231365367770195,heatwave_cover,"Monthly California Current Marine Heatwave, Daily",nan,nan,nan,1.0
1984,3,1984-03,0.12746683,0.08555584400892258,0.04191098362207413,0.21302267909049988,heatwave_cover,"Monthly California Current Marine Heatwave, Daily",nan,nan,nan,1.0
1984,4,1984-04,0.0028639617,0.0059224399738013744,-0.0030584782361984253,0.008786401711404324,heatwave_cover,"Monthly California Current Marine Heatwave, Daily",nan,nan,nan,1.0
1984,5,1984-05,0.023455745,0.029963558539748192,-0.006507813930511475,0.05341930314898491,heatwave_cover,"Monthly California Current Marine Heatwave, Daily",nan,nan,nan,1.0
1984,6,1984-06,0.017104216,0.032846204936504364,-0.015741989016532898,0.04995042085647583,heatwave_cover,"Monthly California Current Marine Heatwave, Daily",nan,nan,nan,1.0
1984,7,1984-07,0.0791439,0.05416520684957504,0.02497868984937668,0.13330909609794617,heatwave_cover,"Monthly California Current Marine Heatwave, Daily",nan,nan,nan,1.0
1984,8,1984-08,0.14407063,0.09844405949115753,0.04562656581401825,0.2425146847963333,heatwave_cover,"Monthly California Current Marine Heatwave, Daily",nan,nan,nan,1.0
1984,9,1984-09,0.20076902,0.060543470084667206,0.14022555947303772,0.26131248474121094,heatwave_cover,"Monthly California Current Marine Heatwave, Daily",nan,nan,nan,1.0
1984,10,1984-10,0.092411526,0.10177236795425415,-0.009360842406749725,0.19418388605117798,heatwave_cover,"Monthly California Current Marine Heatwave, Daily",nan,nan,nan,1.0
1984,11,1984-11,0.007584195,0.008085333742201328,-0.000501138623803854,0.015669528394937515,heatwave_cover,"Monthly California Current Marine Heatwave, Daily",nan,nan,nan,1.0
1984,12,1984-12,0.0028998896,0.003264310071244836,-0.00036442046985030174,0.00616419967263937,heatwave_cover,"Monthly California Current Marine Heatwave, Daily",nan,nan,nan,1.0
1985,1,1985-01,0.0039520618,0.005657079163938761,-0.0017050174064934254,0.009609140455722809,heatwave_cover,"Monthly California Current Marine Heatwave, Daily",nan,nan,nan,1.0
1985,2,1985-02,0.0006534834,0.0018379157409071922,-0.0011844323016703129,0.0024913991801440716,heatwave_cover,"Monthly California Current Marine Heatwave, Daily",nan,nan,nan,1.0
1985,3,1985-03,0.0018220546,0.0039787511341273785,-0.002156696515157819,0.005800805985927582,heatwave_cover,"Monthly California Current Marine Heatwave, Daily",nan,nan,nan,1.0
1985,4,1985-04,0.0021744894,0.004396933596581221,-0.002222444163635373,0.006571423262357712,heatwave_cover,"Monthly California Current Marine Heatwave, Daily",nan,nan,nan,1.0
1985,5,1985-05,0.0016167527,0.0037001187447458506,-0.0020833660382777452,0.005316871218383312,heatwave_cover,"Monthly California Current Marine Heatwave, Daily",nan,nan,nan,1.0
1985,6,1985-06,0.029992044,0.03700907528400421,-0.007017031311988831,0.06700111925601959,heatwave_cover,"Monthly California Current Marine Heatwave, Daily",nan,nan,nan,1.0
1985,7,1985-07,0.055662487,0.06721844524145126,-0.011555958539247513,0.12288093566894531,heatwave_cover,"Monthly California Current Marine Heatwave, Daily",nan,nan,nan,1.0
1985,8,1985-08,0.027972387,0.029372094199061394,-0.0013997070491313934,0.057344481348991394,heatwave_cover,"Monthly California Current Marine Heatwave, Daily",nan,nan,nan,1.0
1985,9,1985-09,0.009334395,0.020605873316526413,-0.011271478608250618,0.029940268024802208,heatwave_cover,"Monthly California Current Marine Heatwave, Daily",nan,nan,nan,1.0
1985,10,1985-10,0.023968998,0.05559667572379112,-0.031627677381038666,0.07956567406654358,heatwave_cover,"Monthly California Current Marine Heatwave, Daily",nan,nan,nan,1.0
1985,11,1985-11,0.00021214533,0.0008847310091368854,-0.0006725856801494956,0.0010968763381242752,heatwave_cover,"Monthly California Current Marine Heatwave, Daily",nan,nan,nan,1.0
1985,12,1985-12,0.0023096467,0.005365673452615738,-0.0030560267623513937,0.0076753199100494385,heatwave_cover,"Monthly California Current Marine Heatwave, Daily",nan,nan,nan,1.0
1986,1,1986-01,0.019247055,0.02455938793718815,-0.005312332883477211,0.04380644112825394,heatwave_cover,"Monthly California Current Marine Heatwave, Daily",nan,nan,nan,1.0
1986,2,1986-02,0.06497897,0.06770119071006775,-0.002722218632698059,0.13268016278743744,heatwave_cover,"Monthly California Current Marine Heatwave, Daily",nan,nan,nan,1.0
1986,3,1986-03,0.22906561,0.10653253644704819,0.12253307551145554,0.3355981409549713,heatwave_cover,"Monthly California Current Marine Heatwave, Daily",nan,nan,nan,1.0
1986,4,1986-04,0.042402547,0.07195574045181274,-0.029553193598985672,0.11435829102993011,heatwave_cover,"Monthly California Current Marine Heatwave, Daily",nan,nan,nan,1.0
1986,5,1986-05,0.01180486,0.022138550877571106,-0.010333690792322159,0.03394341096282005,heatwave_cover,"Monthly California Current Marine Heatwave, Daily",nan,nan,nan,1.0
1986,6,1986-06,0.0905065,0.10174113512039185,-0.01123463362455368,0.19224762916564941,heatwave_cover,"Monthly California Current Marine Heatwave, Daily",nan,nan,nan,1.0
1986,7,1986-07,0.046962816,0.03607512637972832,0.010887689888477325,0.08303794264793396,heatwave_cover,"Monthly California Current Marine Heatwave, Daily",nan,nan,nan,1.0
1986,8,1986-08,0.007929787,0.013938292860984802,-0.006008505821228027,0.021868079900741577,heatwave_cover,"Monthly California Current Marine Heatwave, Daily",nan,nan,nan,1.0
1986,9,1986-09,0.00071599043,0.002243827795609832,-0.0015278373612090945,0.0029598181135952473,heatwave_cover,"Monthly California Current Marine Heatwave, Daily",nan,nan,nan,1.0
1986,10,1986-10,0.0014114507,0.002738259732723236,-0.001326809055171907,0.004149710293859243,heatwave_cover,"Monthly California Current Marine Heatwave, Daily",nan,nan,nan,1.0
1986,11,1986-11,0.003871652,0.006585907656699419,-0.002714255591854453,0.010457559488713741,heatwave_cover,"Monthly California Current Marine Heatwave, Daily",nan,nan,nan,1.0
1986,12,1986-12,0.055970438,0.045738667249679565,0.01023177057504654,0.10170910507440567,heatwave_cover,"Monthly California Current Marine Heatwave, Daily",nan,nan,nan,1.0
1987,1,1987-01,0.023763698,0.03136488422751427,-0.007601186633110046,0.05512858182191849,heatwave_cover,"Monthly California Current Marine Heatwave, Daily",nan,nan,nan,1.0
1987,2,1987-02,0.03707808,0.03875061497092247,-0.0016725361347198486,0.07582869380712509,heatwave_cover,"Monthly California Current Marine Heatwave, Daily",nan,nan,nan,1.0
1987,3,1987-03,0.008776657,0.011328225024044514,-0.002551567740738392,0.02010488137602806,heatwave_cover,"Monthly California Current Marine Heatwave, Daily",nan,nan,nan,1.0
1987,4,1987-04,0.036966324,0.03661935031414032,0.0003469735383987427,0.07358567416667938,heatwave_cover,"Monthly California Current Marine Heatwave, Daily",nan,nan,nan,1.0
1987,5,1987-05,0.0867144,0.094508595764637,-0.007794193923473358,0.18122300505638123,heatwave_cover,"Monthly California Current Marine Heatwave, Daily",nan,nan,nan,1.0
1987,6,1987-06,0.0019093079,0.003844361286610365,-0.0019350533839315176,0.005753668956458569,heatwave_cover,"Monthly California Current Marine Heatwave, Daily",nan,nan,nan,1.0
1987,7,1987-07,0.00964919,0.022017816081643105,-0.012368625961244106,0.03166700527071953,heatwave_cover,"Monthly California Current Marine Heatwave, Daily",nan,nan,nan,1.0
1987,8,1987-08,0.04277979,0.0437292717397213,-0.0009494833648204803,0.08650906383991241,heatwave_cover,"Monthly California Current Marine Heatwave, Daily",nan,nan,nan,1.0
1987,9,1987-09,0.00909573,0.014051633886992931,-0.004955903626978397,0.02314736321568489,heatwave_cover,"Monthly California Current Marine Heatwave, Daily",nan,nan,nan,1.0
1987,10,1987-10,0.04732209,0.06284263730049133,-0.015520546585321426,0.11016473174095154,heatwave_cover,"Monthly California Current Marine Heatwave, Daily",nan,nan,nan,1.0
1987,11,1987-11,0.09411297,0.053000807762145996,0.04111216217279434,0.14711377024650574,heatwave_cover,"Monthly California Current Marine Heatwave, Daily",nan,nan,nan,1.0
1987,12,1987-12,0.015423307,0.020912067964673042,-0.005488760769367218,0.03633537515997887,heatwave_cover,"Monthly California Current Marine Heatwave, Daily",nan,nan,nan,1.0
1988,1,1988-01,0.0004362666,0.0013754526153206825,-0.0009391860221512616,0.0018117192666977644,heatwave_cover,"Monthly California Current Marine Heatwave, Daily",nan,nan,nan,1.0
1988,2,1988-02,0.0036211014,0.008553988300263882,-0.00493288692086935,0.012175089679658413,heatwave_cover,"Monthly California Current Marine Heatwave, Daily",nan,nan,nan,1.0
1988,3,1988-03,0.002360972,0.006415479816496372,-0.004054507706314325,0.008776452392339706,heatwave_cover,"Monthly California Current Marine Heatwave, Daily",nan,nan,nan,1.0
1988,4,1988-04,0.020021213,0.022035978734493256,-0.0020147655159235,0.04205719381570816,heatwave_cover,"Monthly California Current Marine Heatwave, Daily",nan,nan,nan,1.0
1988,5,1988-05,0.0012831369,0.002635943703353405,-0.0013528068084269762,0.0039190808311104774,heatwave_cover,"Monthly California Current Marine Heatwave, Daily",nan,nan,nan,1.0
1988,6,1988-06,0.007928931,0.01310129277408123,-0.005172361619770527,0.021030224859714508,heatwave_cover,"Monthly California Current Marine Heatwave, Daily",nan,nan,nan,1.0
