year,time,index,error,SElo,SEup,metric,timeseries,lat,lon,depth,order
1967,1967,4.34604064234794,1.0249981734154028,3.3210424689325366,5.371038815763343,Area (10^6 km^2),Winter North Pacific High Area,nan,nan,nan,1.0
1968,1968,1.5591745846526595,1.6012648197499249,-0.042090235097265394,3.1604394044025845,Area (10^6 km^2),Winter North Pacific High Area,nan,nan,nan,1.0
1969,1969,2.5970962276923952,2.1581182530090666,0.43897797468332866,4.755214480701461,Area (10^6 km^2),Winter North Pacific High Area,nan,nan,nan,1.0
1970,1970,1.8837351219384582,2.549614021344936,-0.6658788994064779,4.433349143283394,Area (10^6 km^2),Winter North Pacific High Area,nan,nan,nan,1.0
1971,1971,4.533096387470233,0.6342148249687332,3.8988815625015,5.167311212438967,Area (10^6 km^2),Winter North Pacific High Area,nan,nan,nan,1.0
1972,1972,2.062336889583803,1.3675334119080031,0.6948034776757996,3.429870301491806,Area (10^6 km^2),Winter North Pacific High Area,nan,nan,nan,1.0
1973,1973,3.444809240453196,2.867916248586788,0.5768929918664076,6.312725489039984,Area (10^6 km^2),Winter North Pacific High Area,nan,nan,nan,1.0
1974,1974,2.345243523208422,2.5027438458304045,-0.15750032262198266,4.847987369038826,Area (10^6 km^2),Winter North Pacific High Area,nan,nan,nan,1.0
1975,1975,4.473806454285584,2.077260749526529,2.396545704759055,6.551067203812114,Area (10^6 km^2),Winter North Pacific High Area,nan,nan,nan,1.0
1976,1976,4.453874379115722,0.8220490782656568,3.631825300850065,5.275923457381379,Area (10^6 km^2),Winter North Pacific High Area,nan,nan,nan,1.0
1977,1977,4.045150402769636,2.617277299713487,1.427873103056149,6.662427702483123,Area (10^6 km^2),Winter North Pacific High Area,nan,nan,nan,1.0
1978,1978,0.36550154110223354,0.47101172190792956,-0.10551018080569602,0.836513263010163,Area (10^6 km^2),Winter North Pacific High Area,nan,nan,nan,1.0
1979,1979,2.753342673768357,1.6298935060210078,1.1234491677473493,4.383236179789365,Area (10^6 km^2),Winter North Pacific High Area,nan,nan,nan,1.0
1980,1980,2.2073726777171045,3.1136422838176934,-0.9062696061005888,5.321014961534798,Area (10^6 km^2),Winter North Pacific High Area,nan,nan,nan,1.0
1981,1981,1.732132922435026,1.8920320166018347,-0.1598990941668088,3.6241649390368607,Area (10^6 km^2),Winter North Pacific High Area,nan,nan,nan,1.0
1982,1982,2.342681755202509,1.0558908151353725,1.2867909400671367,3.3985725703378815,Area (10^6 km^2),Winter North Pacific High Area,nan,nan,nan,1.0
1983,1983,0.018616493850473145,0.005231239911897945,0.0133852539385752,0.02384773376237109,Area (10^6 km^2),Winter North Pacific High Area,nan,nan,nan,1.0
1984,1984,3.3726425114704064,0.681831594420261,2.6908109170501455,4.054474105890668,Area (10^6 km^2),Winter North Pacific High Area,nan,nan,nan,1.0
1985,1985,4.241337093591349,2.2804760911221025,1.960861002469246,6.5218131847134515,Area (10^6 km^2),Winter North Pacific High Area,nan,nan,nan,1.0
1986,1986,0.14678091417183164,0.16892924273503626,-0.022148328563204617,0.3157101569068679,Area (10^6 km^2),Winter North Pacific High Area,nan,nan,nan,1.0
1987,1987,1.022225476638989,1.430256819664911,-0.4080313430259219,2.4524822963039004,Area (10^6 km^2),Winter North Pacific High Area,nan,nan,nan,1.0
1988,1988,3.5445944612587095,2.022563781008886,1.5220306802498236,5.567158242267595,Area (10^6 km^2),Winter North Pacific High Area,nan,nan,nan,1.0
1989,1989,3.956700366099142,2.574281429868071,1.3824189362310713,6.530981795967213,Area (10^6 km^2),Winter North Pacific High Area,nan,nan,nan,1.0
1990,1990,4.696796077846069,0.7201382832402571,3.976657794605812,5.4169343610863265,Area (10^6 km^2),Winter North Pacific High Area,nan,nan,nan,1.0
1991,1991,2.2685185854971217,1.8609443839281894,0.4075742015689323,4.129462969425311,Area (10^6 km^2),Winter North Pacific High Area,nan,nan,nan,1.0
1992,1992,0.8916197792602009,0.9072593219012627,-0.01563954264106182,1.7988791011614635,Area (10^6 km^2),Winter North Pacific High Area,nan,nan,nan,1.0
1993,1993,0.862904812154818,1.2124014248387909,-0.3494966126839729,2.075306236993609,Area (10^6 km^2),Winter North Pacific High Area,nan,nan,nan,1.0
1994,1994,2.9561583204804873,1.261624296106369,1.6945340243741183,4.217782616586856,Area (10^6 km^2),Winter North Pacific High Area,nan,nan,nan,1.0
1995,1995,0.03960064648854684,0.030240527936852536,0.009360118551694302,0.06984117442539937,Area (10^6 km^2),Winter North Pacific High Area,nan,nan,nan,1.0
1996,1996,0.7591905286765535,0.7802702146239954,-0.021079685947441917,1.5394607433005487,Area (10^6 km^2),Winter North Pacific High Area,nan,nan,nan,1.0
1997,1997,3.6099425768363584,1.8264604406574263,1.7834821361789321,5.4364030174937845,Area (10^6 km^2),Winter North Pacific High Area,nan,nan,nan,1.0
1998,1998,1.494809135922517,1.1834180385834596,0.31139109733905745,2.6782271745059765,Area (10^6 km^2),Winter North Pacific High Area,nan,nan,nan,1.0
1999,1999,5.4071501746745385,0.4072973626955466,4.999852811978992,5.814447537370085,Area (10^6 km^2),Winter North Pacific High Area,nan,nan,nan,1.0
2000,2000,4.705873395474631,1.086114835298586,3.619758560176045,5.791988230773217,Area (10^6 km^2),Winter North Pacific High Area,nan,nan,nan,1.0
2001,2001,4.294011300703474,0.6450166191222079,3.648994681581266,4.939027919825682,Area (10^6 km^2),Winter North Pacific High Area,nan,nan,nan,1.0
2002,2002,4.447616189532692,0.61582540279231,3.831790786740382,5.063441592325002,Area (10^6 km^2),Winter North Pacific High Area,nan,nan,nan,1.0
2003,2003,1.4605293441779585,0.8567501118581832,0.6037792323197754,2.317279456036142,Area (10^6 km^2),Winter North Pacific High Area,nan,nan,nan,1.0
2004,2004,2.524267574191899,1.7345022918313815,0.7897652823605175,4.258769866023281,Area (10^6 km^2),Winter North Pacific High Area,nan,nan,nan,1.0
2005,2005,0.641082089863238,0.6840040525518465,-0.042921962688608484,1.3250861424150844,Area (10^6 km^2),Winter North Pacific High Area,nan,nan,nan,1.0
2006,2006,5.1460855195611535,0.17269211606693255,4.973393403494221,5.318777635628086,Area (10^6 km^2),Winter North Pacific High Area,nan,nan,nan,1.0
2007,2007,4.757170987143621,0.47976384058262445,4.277407146560997,5.2369348277262455,Area (10^6 km^2),Winter North Pacific High Area,nan,nan,nan,1.0
2008,2008,5.828520230931489,0.8471128675901687,4.9814073633413205,6.675633098521658,Area (10^6 km^2),Winter North Pacific High Area,nan,nan,nan,1.0
2009,2009,5.769775529636756,0.7993525165918803,4.970423013044876,6.569128046228636,Area (10^6 km^2),Winter North Pacific High Area,nan,nan,nan,1.0
