year,time,index,error,SElo,SEup,metric,timeseries,lat,lon,depth,order
1967,1967,19.0,0.0,19.0,19.0,STI (yearday),Spring Transition Index @ 33N,33.0,0.0,0.0,1.0
1968,1968,24.0,0.0,24.0,24.0,STI (yearday),Spring Transition Index @ 33N,33.0,0.0,0.0,1.0
1969,1969,7.0,0.0,7.0,7.0,STI (yearday),Spring Transition Index @ 33N,33.0,0.0,0.0,1.0
1970,1970,10.0,0.0,10.0,10.0,STI (yearday),Spring Transition Index @ 33N,33.0,0.0,0.0,1.0
1971,1971,1.0,0.0,1.0,1.0,STI (yearday),Spring Transition Index @ 33N,33.0,0.0,0.0,1.0
1972,1972,16.0,0.0,16.0,16.0,STI (yearday),Spring Transition Index @ 33N,33.0,0.0,0.0,1.0
1973,1973,1.0,0.0,1.0,1.0,STI (yearday),Spring Transition Index @ 33N,33.0,0.0,0.0,1.0
1974,1974,16.0,0.0,16.0,16.0,STI (yearday),Spring Transition Index @ 33N,33.0,0.0,0.0,1.0
1975,1975,3.0,0.0,3.0,3.0,STI (yearday),Spring Transition Index @ 33N,33.0,0.0,0.0,1.0
1976,1976,22.0,0.0,22.0,22.0,STI (yearday),Spring Transition Index @ 33N,33.0,0.0,0.0,1.0
1977,1977,2.0,0.0,2.0,2.0,STI (yearday),Spring Transition Index @ 33N,33.0,0.0,0.0,1.0
1978,1978,16.0,0.0,16.0,16.0,STI (yearday),Spring Transition Index @ 33N,33.0,0.0,0.0,1.0
1979,1979,8.0,0.0,8.0,8.0,STI (yearday),Spring Transition Index @ 33N,33.0,0.0,0.0,1.0
1980,1980,48.0,0.0,48.0,48.0,STI (yearday),Spring Transition Index @ 33N,33.0,0.0,0.0,1.0
1981,1981,23.0,0.0,23.0,23.0,STI (yearday),Spring Transition Index @ 33N,33.0,0.0,0.0,1.0
1982,1982,11.0,0.0,11.0,11.0,STI (yearday),Spring Transition Index @ 33N,33.0,0.0,0.0,1.0
1983,1983,35.0,0.0,35.0,35.0,STI (yearday),Spring Transition Index @ 33N,33.0,0.0,0.0,1.0
1984,1984,5.0,0.0,5.0,5.0,STI (yearday),Spring Transition Index @ 33N,33.0,0.0,0.0,1.0
1985,1985,7.0,0.0,7.0,7.0,STI (yearday),Spring Transition Index @ 33N,33.0,0.0,0.0,1.0
1986,1986,13.0,0.0,13.0,13.0,STI (yearday),Spring Transition Index @ 33N,33.0,0.0,0.0,1.0
1987,1987,1.0,0.0,1.0,1.0,STI (yearday),Spring Transition Index @ 33N,33.0,0.0,0.0,1.0
1988,1988,5.0,0.0,5.0,5.0,STI (yearday),Spring Transition Index @ 33N,33.0,0.0,0.0,1.0
1989,1989,3.0,0.0,3.0,3.0,STI (yearday),Spring Transition Index @ 33N,33.0,0.0,0.0,1.0
1990,1990,1.0,0.0,1.0,1.0,STI (yearday),Spring Transition Index @ 33N,33.0,0.0,0.0,1.0
1991,1991,6.0,0.0,6.0,6.0,STI (yearday),Spring Transition Index @ 33N,33.0,0.0,0.0,1.0
1992,1992,5.0,0.0,5.0,5.0,STI (yearday),Spring Transition Index @ 33N,33.0,0.0,0.0,1.0
1993,1993,18.0,0.0,18.0,18.0,STI (yearday),Spring Transition Index @ 33N,33.0,0.0,0.0,1.0
1994,1994,1.0,0.0,1.0,1.0,STI (yearday),Spring Transition Index @ 33N,33.0,0.0,0.0,1.0
1995,1995,25.0,0.0,25.0,25.0,STI (yearday),Spring Transition Index @ 33N,33.0,0.0,0.0,1.0
1996,1996,1.0,0.0,1.0,1.0,STI (yearday),Spring Transition Index @ 33N,33.0,0.0,0.0,1.0
1997,1997,1.0,0.0,1.0,1.0,STI (yearday),Spring Transition Index @ 33N,33.0,0.0,0.0,1.0
1998,1998,39.0,0.0,39.0,39.0,STI (yearday),Spring Transition Index @ 33N,33.0,0.0,0.0,1.0
