year,time,index,error,SElo,SEup,metric,timeseries,lat,lon,depth,order
1967,1967,37186.86410224438,0.0,37186.86410224438,37186.86410224438,TUMI (m$^3$/s/100m coastline),Total Upwelling Magnitude Index @ 33N,33.0,0.0,0.0,1.0
1968,1968,44175.823249578476,0.0,44175.823249578476,44175.823249578476,TUMI (m$^3$/s/100m coastline),Total Upwelling Magnitude Index @ 33N,33.0,0.0,0.0,1.0
1969,1969,43032.571645736694,0.0,43032.571645736694,43032.571645736694,TUMI (m$^3$/s/100m coastline),Total Upwelling Magnitude Index @ 33N,33.0,0.0,0.0,1.0
1970,1970,42329.361616149545,0.0,42329.361616149545,42329.361616149545,TUMI (m$^3$/s/100m coastline),Total Upwelling Magnitude Index @ 33N,33.0,0.0,0.0,1.0
1971,1971,46146.384024858475,0.0,46146.384024858475,46146.384024858475,TUMI (m$^3$/s/100m coastline),Total Upwelling Magnitude Index @ 33N,33.0,0.0,0.0,1.0
1972,1972,31154.550005276997,0.0,31154.550005276997,31154.550005276997,TUMI (m$^3$/s/100m coastline),Total Upwelling Magnitude Index @ 33N,33.0,0.0,0.0,1.0
1973,1973,34750.63307249546,0.0,34750.63307249546,34750.63307249546,TUMI (m$^3$/s/100m coastline),Total Upwelling Magnitude Index @ 33N,33.0,0.0,0.0,1.0
1974,1974,29424.744565159082,0.0,29424.744565159082,29424.744565159082,TUMI (m$^3$/s/100m coastline),Total Upwelling Magnitude Index @ 33N,33.0,0.0,0.0,1.0
1975,1975,36598.45089173317,0.0,36598.45089173317,36598.45089173317,TUMI (m$^3$/s/100m coastline),Total Upwelling Magnitude Index @ 33N,33.0,0.0,0.0,1.0
1976,1976,25943.31104695797,0.0,25943.31104695797,25943.31104695797,TUMI (m$^3$/s/100m coastline),Total Upwelling Magnitude Index @ 33N,33.0,0.0,0.0,1.0
1977,1977,30208.097077965736,0.0,30208.097077965736,30208.097077965736,TUMI (m$^3$/s/100m coastline),Total Upwelling Magnitude Index @ 33N,33.0,0.0,0.0,1.0
1978,1978,24007.767478346825,0.0,24007.767478346825,24007.767478346825,TUMI (m$^3$/s/100m coastline),Total Upwelling Magnitude Index @ 33N,33.0,0.0,0.0,1.0
1979,1979,37378.30219197273,0.0,37378.30219197273,37378.30219197273,TUMI (m$^3$/s/100m coastline),Total Upwelling Magnitude Index @ 33N,33.0,0.0,0.0,1.0
