year,month,time,index,error,SElo,SEup,metric,timeseries,lat,lon,depth,order
1967,1,1967-01,-146.8245086669922,nan,nan,nan,UI (m^3/s/100 m coastline),Monthly Upwelling Index (45 °N),45.0,-125.0,nan,1.0
1967,2,1967-02,-34.008243560791016,nan,nan,nan,UI (m^3/s/100 m coastline),Monthly Upwelling Index (45 °N),45.0,-125.0,nan,1.0
1967,3,1967-03,-75.65723419189453,nan,nan,nan,UI (m^3/s/100 m coastline),Monthly Upwelling Index (45 °N),45.0,-125.0,nan,1.0
1967,4,1967-04,2.7350268363952637,nan,nan,nan,UI (m^3/s/100 m coastline),Monthly Upwelling Index (45 °N),45.0,-125.0,nan,1.0
1967,5,1967-05,68.02471160888672,nan,nan,nan,UI (m^3/s/100 m coastline),Monthly Upwelling Index (45 °N),45.0,-125.0,nan,1.0
1967,6,1967-06,79.94632720947266,nan,nan,nan,UI (m^3/s/100 m coastline),Monthly Upwelling Index (45 °N),45.0,-125.0,nan,1.0
1967,7,1967-07,93.03240203857422,nan,nan,nan,UI (m^3/s/100 m coastline),Monthly Upwelling Index (45 °N),45.0,-125.0,nan,1.0
1967,8,1967-08,66.2870101928711,nan,nan,nan,UI (m^3/s/100 m coastline),Monthly Upwelling Index (45 °N),45.0,-125.0,nan,1.0
1967,9,1967-09,21.77199935913086,nan,nan,nan,UI (m^3/s/100 m coastline),Monthly Upwelling Index (45 °N),45.0,-125.0,nan,1.0
1967,10,1967-10,-96.98759460449219,nan,nan,nan,UI (m^3/s/100 m coastline),Monthly Upwelling Index (45 °N),45.0,-125.0,nan,1.0
1967,11,1967-11,-54.56572341918945,nan,nan,nan,UI (m^3/s/100 m coastline),Monthly Upwelling Index (45 °N),45.0,-125.0,nan,1.0
1967,12,1967-12,-188.12338256835938,nan,nan,nan,UI (m^3/s/100 m coastline),Monthly Upwelling Index (45 °N),45.0,-125.0,nan,1.0
1968,1,1968-01,-244.31703186035156,nan,nan,nan,UI (m^3/s/100 m coastline),Monthly Upwelling Index (45 °N),45.0,-125.0,nan,1.0
1968,2,1968-02,-177.40927124023438,nan,nan,nan,UI (m^3/s/100 m coastline),Monthly Upwelling Index (45 °N),45.0,-125.0,nan,1.0
1968,3,1968-03,-67.24463653564453,nan,nan,nan,UI (m^3/s/100 m coastline),Monthly Upwelling Index (45 °N),45.0,-125.0,nan,1.0
1968,4,1968-04,47.39427185058594,nan,nan,nan,UI (m^3/s/100 m coastline),Monthly Upwelling Index (45 °N),45.0,-125.0,nan,1.0
1968,5,1968-05,47.447105407714844,nan,nan,nan,UI (m^3/s/100 m coastline),Monthly Upwelling Index (45 °N),45.0,-125.0,nan,1.0
1968,6,1968-06,59.45155334472656,nan,nan,nan,UI (m^3/s/100 m coastline),Monthly Upwelling Index (45 °N),45.0,-125.0,nan,1.0
1968,7,1968-07,81.76830291748047,nan,nan,nan,UI (m^3/s/100 m coastline),Monthly Upwelling Index (45 °N),45.0,-125.0,nan,1.0
1968,8,1968-08,28.413877487182617,nan,nan,nan,UI (m^3/s/100 m coastline),Monthly Upwelling Index (45 °N),45.0,-125.0,nan,1.0
1968,9,1968-09,22.880157470703125,nan,nan,nan,UI (m^3/s/100 m coastline),Monthly Upwelling Index (45 °N),45.0,-125.0,nan,1.0
1968,10,1968-10,-55.57875442504883,nan,nan,nan,UI (m^3/s/100 m coastline),Monthly Upwelling Index (45 °N),45.0,-125.0,nan,1.0
1968,11,1968-11,-164.02122497558594,nan,nan,nan,UI (m^3/s/100 m coastline),Monthly Upwelling Index (45 °N),45.0,-125.0,nan,1.0
1968,12,1968-12,-233.8984375,nan,nan,nan,UI (m^3/s/100 m coastline),Monthly Upwelling Index (45 °N),45.0,-125.0,nan,1.0
1969,1,1969-01,-81.4230728149414,nan,nan,nan,UI (m^3/s/100 m coastline),Monthly Upwelling Index (45 °N),45.0,-125.0,nan,1.0
1969,2,1969-02,-148.73544311523438,nan,nan,nan,UI (m^3/s/100 m coastline),Monthly Upwelling Index (45 °N),45.0,-125.0,nan,1.0
1969,3,1969-03,-14.3250093460083,nan,nan,nan,UI (m^3/s/100 m coastline),Monthly Upwelling Index (45 °N),45.0,-125.0,nan,1.0
1969,4,1969-04,-33.430477142333984,nan,nan,nan,UI (m^3/s/100 m coastline),Monthly Upwelling Index (45 °N),45.0,-125.0,nan,1.0
1969,5,1969-05,23.17528533935547,nan,nan,nan,UI (m^3/s/100 m coastline),Monthly Upwelling Index (45 °N),45.0,-125.0,nan,1.0
1969,6,1969-06,44.26481628417969,nan,nan,nan,UI (m^3/s/100 m coastline),Monthly Upwelling Index (45 °N),45.0,-125.0,nan,1.0
1969,7,1969-07,69.666259765625,nan,nan,nan,UI (m^3/s/100 m coastline),Monthly Upwelling Index (45 °N),45.0,-125.0,nan,1.0
1969,8,1969-08,45.750404357910156,nan,nan,nan,UI (m^3/s/100 m coastline),Monthly Upwelling Index (45 °N),45.0,-125.0,nan,1.0
1969,9,1969-09,11.412663459777832,nan,nan,nan,UI (m^3/s/100 m coastline),Monthly Upwelling Index (45 °N),45.0,-125.0,nan,1.0
1969,10,1969-10,-43.8974723815918,nan,nan,nan,UI (m^3/s/100 m coastline),Monthly Upwelling Index (45 °N),45.0,-125.0,nan,1.0
1969,11,1969-11,-86.69025421142578,nan,nan,nan,UI (m^3/s/100 m coastline),Monthly Upwelling Index (45 °N),45.0,-125.0,nan,1.0
1969,12,1969-12,-202.32684326171875,nan,nan,nan,UI (m^3/s/100 m coastline),Monthly Upwelling Index (45 °N),45.0,-125.0,nan,1.0
1970,1,1970-01,-125.58716583251953,nan,nan,nan,UI (m^3/s/100 m coastline),Monthly Upwelling Index (45 °N),45.0,-125.0,nan,1.0
1970,2,1970-02,-67.74486541748047,nan,nan,nan,UI (m^3/s/100 m coastline),Monthly Upwelling Index (45 °N),45.0,-125.0,nan,1.0
1970,3,1970-03,-11.960780143737793,nan,nan,nan,UI (m^3/s/100 m coastline),Monthly Upwelling Index (45 °N),45.0,-125.0,nan,1.0
1970,4,1970-04,18.092634201049805,nan,nan,nan,UI (m^3/s/100 m coastline),Monthly Upwelling Index (45 °N),45.0,-125.0,nan,1.0
1970,5,1970-05,46.36375427246094,nan,nan,nan,UI (m^3/s/100 m coastline),Monthly Upwelling Index (45 °N),45.0,-125.0,nan,1.0
1970,6,1970-06,50.95012664794922,nan,nan,nan,UI (m^3/s/100 m coastline),Monthly Upwelling Index (45 °N),45.0,-125.0,nan,1.0
1970,7,1970-07,63.5174446105957,nan,nan,nan,UI (m^3/s/100 m coastline),Monthly Upwelling Index (45 °N),45.0,-125.0,nan,1.0
1970,8,1970-08,57.08603286743164,nan,nan,nan,UI (m^3/s/100 m coastline),Monthly Upwelling Index (45 °N),45.0,-125.0,nan,1.0
1970,9,1970-09,20.906076431274414,nan,nan,nan,UI (m^3/s/100 m coastline),Monthly Upwelling Index (45 °N),45.0,-125.0,nan,1.0
1970,10,1970-10,-39.63999938964844,nan,nan,nan,UI (m^3/s/100 m coastline),Monthly Upwelling Index (45 °N),45.0,-125.0,nan,1.0
1970,11,1970-11,-80.10609436035156,nan,nan,nan,UI (m^3/s/100 m coastline),Monthly Upwelling Index (45 °N),45.0,-125.0,nan,1.0
1970,12,1970-12,-159.55728149414062,nan,nan,nan,UI (m^3/s/100 m coastline),Monthly Upwelling Index (45 °N),45.0,-125.0,nan,1.0
1971,1,1971-01,-93.87522888183594,nan,nan,nan,UI (m^3/s/100 m coastline),Monthly Upwelling Index (45 °N),45.0,-125.0,nan,1.0
1971,2,1971-02,-16.631174087524414,nan,nan,nan,UI (m^3/s/100 m coastline),Monthly Upwelling Index (45 °N),45.0,-125.0,nan,1.0
1971,3,1971-03,-100.17134857177734,nan,nan,nan,UI (m^3/s/100 m coastline),Monthly Upwelling Index (45 °N),45.0,-125.0,nan,1.0
1971,4,1971-04,-5.244044303894043,nan,nan,nan,UI (m^3/s/100 m coastline),Monthly Upwelling Index (45 °N),45.0,-125.0,nan,1.0
1971,5,1971-05,49.87439727783203,nan,nan,nan,UI (m^3/s/100 m coastline),Monthly Upwelling Index (45 °N),45.0,-125.0,nan,1.0
1971,6,1971-06,15.35447883605957,nan,nan,nan,UI (m^3/s/100 m coastline),Monthly Upwelling Index (45 °N),45.0,-125.0,nan,1.0
1971,7,1971-07,49.90979766845703,nan,nan,nan,UI (m^3/s/100 m coastline),Monthly Upwelling Index (45 °N),45.0,-125.0,nan,1.0
1971,8,1971-08,23.855289459228516,nan,nan,nan,UI (m^3/s/100 m coastline),Monthly Upwelling Index (45 °N),45.0,-125.0,nan,1.0
1971,9,1971-09,16.336286544799805,nan,nan,nan,UI (m^3/s/100 m coastline),Monthly Upwelling Index (45 °N),45.0,-125.0,nan,1.0
1971,10,1971-10,-8.995594024658203,nan,nan,nan,UI (m^3/s/100 m coastline),Monthly Upwelling Index (45 °N),45.0,-125.0,nan,1.0
1971,11,1971-11,-86.83541870117188,nan,nan,nan,UI (m^3/s/100 m coastline),Monthly Upwelling Index (45 °N),45.0,-125.0,nan,1.0
1971,12,1971-12,-63.58653259277344,nan,nan,nan,UI (m^3/s/100 m coastline),Monthly Upwelling Index (45 °N),45.0,-125.0,nan,1.0
1972,1,1972-01,-51.182037353515625,nan,nan,nan,UI (m^3/s/100 m coastline),Monthly Upwelling Index (45 °N),45.0,-125.0,nan,1.0
1972,2,1972-02,-109.179931640625,nan,nan,nan,UI (m^3/s/100 m coastline),Monthly Upwelling Index (45 °N),45.0,-125.0,nan,1.0
1972,3,1972-03,-50.730201721191406,nan,nan,nan,UI (m^3/s/100 m coastline),Monthly Upwelling Index (45 °N),45.0,-125.0,nan,1.0
1972,4,1972-04,-11.043395042419434,nan,nan,nan,UI (m^3/s/100 m coastline),Monthly Upwelling Index (45 °N),45.0,-125.0,nan,1.0
1972,5,1972-05,29.269001007080078,nan,nan,nan,UI (m^3/s/100 m coastline),Monthly Upwelling Index (45 °N),45.0,-125.0,nan,1.0
1972,6,1972-06,45.87841796875,nan,nan,nan,UI (m^3/s/100 m coastline),Monthly Upwelling Index (45 °N),45.0,-125.0,nan,1.0
