year,time,index,error,SElo,SEup,metric,timeseries,lat,lon,depth,order
1967,1967,29.336117664972942,50.64743392620061,-21.31131626122767,79.98355159117355,UI (m^3/s/100 m coastline),Winter Upwelling Index (33 °N),33.0,-119.0,nan,1.0
1968,1968,33.89745954672495,38.76917314412537,-4.871713597400415,72.66663269085032,UI (m^3/s/100 m coastline),Winter Upwelling Index (33 °N),33.0,-119.0,nan,1.0
1969,1969,50.575592358907066,44.61608413466008,5.959508224246989,95.19167649356714,UI (m^3/s/100 m coastline),Winter Upwelling Index (33 °N),33.0,-119.0,nan,1.0
1970,1970,48.0345147450765,40.95926999887906,7.075244746197441,88.99378474395556,UI (m^3/s/100 m coastline),Winter Upwelling Index (33 °N),33.0,-119.0,nan,1.0
1971,1971,75.40475336710612,48.63627549581903,26.768477871287097,124.04102886292515,UI (m^3/s/100 m coastline),Winter Upwelling Index (33 °N),33.0,-119.0,nan,1.0
1972,1972,48.505385080973305,66.85073427901378,-18.345349198040473,115.35611935998708,UI (m^3/s/100 m coastline),Winter Upwelling Index (33 °N),33.0,-119.0,nan,1.0
1973,1973,46.389188289642334,55.1140530122546,-8.724864722612267,101.50324130189694,UI (m^3/s/100 m coastline),Winter Upwelling Index (33 °N),33.0,-119.0,nan,1.0
1974,1974,32.03059800465902,28.605979765929124,3.424618238729895,60.63657777058815,UI (m^3/s/100 m coastline),Winter Upwelling Index (33 °N),33.0,-119.0,nan,1.0
1975,1975,56.242469469706215,44.96975239850031,11.272717071205903,101.21222186820653,UI (m^3/s/100 m coastline),Winter Upwelling Index (33 °N),33.0,-119.0,nan,1.0
1976,1976,46.05860781669617,51.107579128663126,-5.048971311966959,97.1661869453593,UI (m^3/s/100 m coastline),Winter Upwelling Index (33 °N),33.0,-119.0,nan,1.0
1977,1977,59.24696159362793,44.410463990739174,14.836497602888755,103.6574255843671,UI (m^3/s/100 m coastline),Winter Upwelling Index (33 °N),33.0,-119.0,nan,1.0
1978,1978,16.601387977600098,18.709927948252048,-2.1085399706519503,35.31131592585214,UI (m^3/s/100 m coastline),Winter Upwelling Index (33 °N),33.0,-119.0,nan,1.0
1979,1979,26.245965321858723,42.15616727782466,-15.910201955965935,68.40213259968338,UI (m^3/s/100 m coastline),Winter Upwelling Index (33 °N),33.0,-119.0,nan,1.0
1980,1980,28.34911648432414,46.5887413510386,-18.23962486671446,74.93785783536273,UI (m^3/s/100 m coastline),Winter Upwelling Index (33 °N),33.0,-119.0,nan,1.0
1981,1981,26.51215918858846,31.634053115234476,-5.121893926646017,58.146212303822935,UI (m^3/s/100 m coastline),Winter Upwelling Index (33 °N),33.0,-119.0,nan,1.0
1982,1982,28.740882873535156,5.6750058062444255,23.06587706729073,34.415888679779584,UI (m^3/s/100 m coastline),Winter Upwelling Index (33 °N),33.0,-119.0,nan,1.0
1983,1983,13.42356808980306,21.64611769628211,-8.22254960647905,35.069685786085174,UI (m^3/s/100 m coastline),Winter Upwelling Index (33 °N),33.0,-119.0,nan,1.0
1984,1984,46.85844739278158,30.69059488028305,16.167852512498527,77.54904227306463,UI (m^3/s/100 m coastline),Winter Upwelling Index (33 °N),33.0,-119.0,nan,1.0
1985,1985,45.64590358734131,41.77460959851375,3.87129398882756,87.42051318585506,UI (m^3/s/100 m coastline),Winter Upwelling Index (33 °N),33.0,-119.0,nan,1.0
1986,1986,24.190951188405354,27.151435153836204,-2.96048396543085,51.342386342241554,UI (m^3/s/100 m coastline),Winter Upwelling Index (33 °N),33.0,-119.0,nan,1.0
1987,1987,42.94676971435547,13.782948919897157,29.16382079445831,56.72971863425263,UI (m^3/s/100 m coastline),Winter Upwelling Index (33 °N),33.0,-119.0,nan,1.0
1988,1988,52.058810551961265,28.436089636729438,23.622720915231827,80.4949001886907,UI (m^3/s/100 m coastline),Winter Upwelling Index (33 °N),33.0,-119.0,nan,1.0
1989,1989,46.949469884236656,26.632505709401617,20.31696417483504,73.58197559363828,UI (m^3/s/100 m coastline),Winter Upwelling Index (33 °N),33.0,-119.0,nan,1.0
1990,1990,70.45649337768555,31.468573767787277,38.98791960989827,101.92506714547282,UI (m^3/s/100 m coastline),Winter Upwelling Index (33 °N),33.0,-119.0,nan,1.0
1991,1991,34.145408948262535,26.350240929670242,7.7951680185922925,60.49564987793278,UI (m^3/s/100 m coastline),Winter Upwelling Index (33 °N),33.0,-119.0,nan,1.0
1992,1992,13.809987545013428,18.18909148830984,-4.3791039432964105,31.999079033323266,UI (m^3/s/100 m coastline),Winter Upwelling Index (33 °N),33.0,-119.0,nan,1.0
1993,1993,22.109089215596516,33.410342760285985,-11.30125354468947,55.5194319758825,UI (m^3/s/100 m coastline),Winter Upwelling Index (33 °N),33.0,-119.0,nan,1.0
1994,1994,39.37353388468424,16.902752865718153,22.47078101896609,56.27628675040239,UI (m^3/s/100 m coastline),Winter Upwelling Index (33 °N),33.0,-119.0,nan,1.0
1995,1995,12.595294316609701,28.507167463809484,-15.911873147199783,41.10246178041918,UI (m^3/s/100 m coastline),Winter Upwelling Index (33 °N),33.0,-119.0,nan,1.0
1996,1996,47.771613438924156,18.94834147104892,28.823271967875236,66.71995490997307,UI (m^3/s/100 m coastline),Winter Upwelling Index (33 °N),33.0,-119.0,nan,1.0
1997,1997,56.545661290486656,36.11634785349723,20.429313436989425,92.66200914398388,UI (m^3/s/100 m coastline),Winter Upwelling Index (33 °N),33.0,-119.0,nan,1.0
1998,1998,41.700836181640625,30.236760382391573,11.464075799249052,71.93759656403219,UI (m^3/s/100 m coastline),Winter Upwelling Index (33 °N),33.0,-119.0,nan,1.0
1999,1999,66.12434005737305,39.62165362561914,26.502686431753908,105.74599368299218,UI (m^3/s/100 m coastline),Winter Upwelling Index (33 °N),33.0,-119.0,nan,1.0
2000,2000,42.327982584635414,25.826448380109927,16.501534204525488,68.15443096474534,UI (m^3/s/100 m coastline),Winter Upwelling Index (33 °N),33.0,-119.0,nan,1.0
2001,2001,40.93381436665853,13.695220028990848,27.238594337667685,54.62903439564938,UI (m^3/s/100 m coastline),Winter Upwelling Index (33 °N),33.0,-119.0,nan,1.0
2002,2002,54.84702205657959,48.74892916521072,6.0980928913688714,103.5959512217903,UI (m^3/s/100 m coastline),Winter Upwelling Index (33 °N),33.0,-119.0,nan,1.0
2003,2003,31.380234400431316,54.98956874620612,-23.6093343457748,86.36980314663744,UI (m^3/s/100 m coastline),Winter Upwelling Index (33 °N),33.0,-119.0,nan,1.0
2004,2004,30.03493372599284,21.506603256562112,8.528330469430728,51.54153698255495,UI (m^3/s/100 m coastline),Winter Upwelling Index (33 °N),33.0,-119.0,nan,1.0
2005,2005,27.36564079920451,31.552660854593295,-4.1870200553887855,58.918301653797805,UI (m^3/s/100 m coastline),Winter Upwelling Index (33 °N),33.0,-119.0,nan,1.0
2006,2006,64.5485445658366,18.56181576486923,45.98672880096736,83.11036033070582,UI (m^3/s/100 m coastline),Winter Upwelling Index (33 °N),33.0,-119.0,nan,1.0
2007,2007,71.84360758463542,32.675800952635676,39.167806631999746,104.51940853727109,UI (m^3/s/100 m coastline),Winter Upwelling Index (33 °N),33.0,-119.0,nan,1.0
2008,2008,52.133540630340576,56.282460505060854,-4.148919874720278,108.41600113540143,UI (m^3/s/100 m coastline),Winter Upwelling Index (33 °N),33.0,-119.0,nan,1.0
2009,2009,42.2325382232666,31.462957255231277,10.769580968035324,73.69549547849788,UI (m^3/s/100 m coastline),Winter Upwelling Index (33 °N),33.0,-119.0,nan,1.0
2010,2010,62.229486544926964,55.406760004149,6.822726540777964,117.63624654907596,UI (m^3/s/100 m coastline),Winter Upwelling Index (33 °N),33.0,-119.0,nan,1.0
2011,2011,37.35341469446818,38.80280641122096,-1.4493917167527854,76.15622110568914,UI (m^3/s/100 m coastline),Winter Upwelling Index (33 °N),33.0,-119.0,nan,1.0
2012,2012,67.91284561157227,28.99380691590873,38.91903869566353,96.906652527481,UI (m^3/s/100 m coastline),Winter Upwelling Index (33 °N),33.0,-119.0,nan,1.0
2013,2013,58.69948959350586,29.37615140598751,29.32333818751835,88.07564099949337,UI (m^3/s/100 m coastline),Winter Upwelling Index (33 °N),33.0,-119.0,nan,1.0
2014,2014,42.30247370402018,27.69487499883068,14.607598705189499,69.99734870285086,UI (m^3/s/100 m coastline),Winter Upwelling Index (33 °N),33.0,-119.0,nan,1.0
2015,2015,26.378379027048748,29.195559586341002,-2.817180559292254,55.57393861338975,UI (m^3/s/100 m coastline),Winter Upwelling Index (33 °N),33.0,-119.0,nan,1.0
2016,2016,58.654096603393555,38.3534944682358,20.300602135157753,97.00759107162935,UI (m^3/s/100 m coastline),Winter Upwelling Index (33 °N),33.0,-119.0,nan,1.0
2017,2017,49.284292221069336,38.92441156147884,10.359880659590495,88.20870378254818,UI (m^3/s/100 m coastline),Winter Upwelling Index (33 °N),33.0,-119.0,nan,1.0
2018,2018,43.7698917388916,16.793593675142354,26.976298063749248,60.563485414033956,UI (m^3/s/100 m coastline),Winter Upwelling Index (33 °N),33.0,-119.0,nan,1.0
2019,2019,34.626834551493324,28.672484786817595,5.9543497646757295,63.29931933831092,UI (m^3/s/100 m coastline),Winter Upwelling Index (33 °N),33.0,-119.0,nan,1.0
2020,2020,51.483594258626304,1.5837814887250388,49.89981276990127,53.06737574735134,UI (m^3/s/100 m coastline),Winter Upwelling Index (33 °N),33.0,-119.0,nan,1.0
