Line,Station,Lat,Lon,Distance (nm),Order Occ,latitude ,longitude ,Depth
76.7,49,35.0884327672,-120.77761231,6.57092241379,75,35.08824,120.7774,69
76.7,51,35.0250407188,-120.926385792,14.7140052083,74,35.02158,120.91782,240
76.7,55,34.8935364583,-121.206645213,30.5784810127,73,34.88824,121.19831,562
76.7,60,34.723639335,-121.553587787,50.4832061856,72,34.72158,121.54828,930
76.7,70,34.3918126902,-122.251790429,90.3234347826,71,34.38824,122.24608,4017
76.7,80,34.0583872874,-122.942745523,130.029367816,70,34.05491,122.94109,4235
76.7,90,33.7214985322,-123.635665298,170.035194118,69,33.72158,123.63335,4201
76.7,100,33.3883223817,-124.324161771,209.87059542,68,33.38824,124.32289,4551
80,51,34.4474982778,-120.532156965,3.08180808081,61,34.45,120.5239,73
80,55,34.3160894,-120.804396979,18.620311828,62,34.31667,120.80245,780
80,60,34.1466199843,-121.150946371,38.7020727848,63,34.15,121.15,2204
80,70,33.8140490791,-121.845640763,78.469888535,64,33.81667,121.84304,3631
80,80,33.4794202797,-122.537337944,118.445048951,65,33.48333,122.53335,4007
80,90,33.1514167834,-123.219832787,157.932949091,66,33.15,123.22099,4229
80,100,32.8160049081,-123.907800162,197.919396739,67,32.81667,123.90599,4348
81.8,46.9,34.2758745957,-120.024627468,14.0798723404,59,34.2749,120.02524,578
83.3,40.6,34.2253207554,-119.412196928,5.89833093525,56,34.22509,119.41124,34
83.3,42,34.1779935294,-119.508850424,11.4840941176,55,34.17842,119.50851,134
83.3,51,33.8741161911,-120.136188991,47.6084355556,54,33.87842,120.13258,102
83.3,55,33.7414056311,-120.409382791,63.4011704036,53,33.74509,120.40923,999
83.3,60,33.5744589055,-120.752767582,83.2523419118,52,33.57842,120.75443,1397
83.3,70,33.2421016081,-121.439887077,123.022067568,51,33.24509,121.44283,3797
83.3,80,32.9095448578,-122.128299796,162.9451,50,32.91176,122.12858,4180
83.3,90,32.5757910594,-122.807276599,202.670475248,49,32.57842,122.81173,4247
83.3,100,32.2474312722,-123.492158601,242.607624204,48,32.24509,123.49232,4145
83.3,110,31.9121644831,-124.170800881,282.506644068,47,31.91176,124.1704,4163
85.4,35.8,34.0117903939,-118.835651667,5.07072727273,36,34.02136,118.83413,20
86.7,33,33.8888707748,-118.490109351,3.57969536424,34,33.88953,118.49033,57
86.7,35,33.8261551921,-118.627450376,11.2017991266,35,33.82286,118.62873,662
86.7,40,33.6612378033,-118.974443598,31.0810334728,37,33.65619,118.97425,737
86.7,45,33.4940518966,-119.318185069,50.9624913793,38,33.48953,119.3191,1644
86.7,50,33.3274857358,-119.661818217,70.8612122642,39,33.32286,119.66327,78
86.7,55,33.1563205906,-120.008918281,91.0846491228,40,33.15619,120.00678,1201
86.7,60,32.9921047625,-120.353902483,111.02732567,41,32.98953,120.34964,722
86.7,70,32.6547305942,-121.036136256,150.943932367,42,32.65619,121.03339,3771
86.7,80,32.3214397788,-121.715704712,190.733091787,43,32.32286,121.71457,4041
86.7,90,31.9895241295,-122.394116192,230.540979058,44,31.98953,122.39323,4099
86.7,100,31.6577771606,-123.071243993,270.407744526,45,31.65619,123.0694,4147
86.7,110,31.3242121017,-123.744652941,310.270271186,46,31.32286,123.74313,3951
90,28,33.4788762095,-117.772577449,1.92508783784,30,33.48462,117.76808,63
90,30,33.4147538261,-117.90658534,9.62181027668,29,33.41795,117.90582,613
90,35,33.252051865,-118.248468933,29.3268159509,28,33.25128,118.24971,344
90,37,33.1828635497,-118.386990804,37.4342660819,27,33.18462,118.38708,1177
90,45,32.9158610986,-118.93468142,69.3033043478,26,32.91795,118.93551,1695
90,53,32.6503849179,-119.480543786,101.109535714,25,32.65128,119.48228,1309
90,60,32.4144976706,-119.957538228,129.112065476,24,32.41795,119.95935,880
90,70,32.0782834428,-120.639449672,169.155430303,23,32.08462,120.63872,3806
90,80,31.7451523356,-121.314975698,208.942181208,22,31.75128,121.31559,3694
90,90,31.412396592,-121.99249409,248.94252349,21,31.41795,121.99001,3879
90,100,31.0857207265,-122.658876688,288.345472103,20,31.08462,122.66202,3997
90,110,30.7556313295,-123.334589,328.240352601,19,30.75128,123.33164,4017
90,120,30.4186519541,-124.002417133,368.305979487,18,30.41795,123.99893,4141
93.3,28,32.9087913558,-117.385498462,6.58014975845,4,32.91304,117.39438,609
93.3,30,32.8405611621,-117.526354339,14.7991358025,5,32.84637,117.53122,846
93.3,35,32.6799104261,-117.872482381,34.7548103448,6,32.67971,117.87286,616
93.3,40,32.5072812543,-118.207431003,54.5780629371,7,32.51304,118.21386,1627
93.3,45,32.3485483889,-118.557107667,74.70055625,8,32.34637,118.55423,1376
93.3,50,32.1762365645,-118.889031952,94.4413729373,9,32.17971,118.89396,1452
93.3,55,32.0121154898,-119.234211524,114.573455782,10,32.01304,119.23306,1588
93.3,60,31.8390928456,-119.571038136,134.654537313,11,31.84637,119.57154,1899
93.3,70,31.5064951255,-120.246149557,174.425893701,12,31.51304,120.24666,3931
93.3,80,31.1716012973,-120.917256938,214.265242187,13,31.17971,120.91935,3848
93.3,90,30.8417498299,-121.586797921,253.995829167,14,30.84637,121.58965,4109
93.3,100,30.5142659565,-122.251707266,293.555228261,15,30.51304,122.2576,4132
93.3,110,30.1820846918,-122.923195089,333.620506849,16,30.17971,122.92324,3868
93.3,120,29.8460905906,-123.586475114,373.591979866,17,29.84637,123.58661,4061
