year,time,index,error,SElo,SEup,metric,timeseries,lat,lon,depth,order
1950,1950,2.4462222222222225,0.2517777777777781,2.1944444444444446,2.6980000000000004,DO (ml/L),Winter Dissolved Oxygen at 150 m: 933_300 (32.84N -117.53W),32.84099336134454,-117.5266957955182,150.0,1.0
1951,1951,2.4545999999999997,0.0782847792783927,2.376315220721607,2.532884779278392,DO (ml/L),Winter Dissolved Oxygen at 150 m: 933_300 (32.84N -117.53W),32.84099336134454,-117.5266957955182,150.0,1.0
1952,1952,2.5375,0.27249999999999996,2.265,2.81,DO (ml/L),Winter Dissolved Oxygen at 150 m: 933_300 (32.84N -117.53W),32.84099336134454,-117.5266957955182,150.0,1.0
1953,1953,2.2516000000000003,0.14397444217638075,2.1076255578236194,2.395574442176381,DO (ml/L),Winter Dissolved Oxygen at 150 m: 933_300 (32.84N -117.53W),32.84099336134454,-117.5266957955182,150.0,1.0
1954,1954,nan,nan,nan,nan,DO (ml/L),Winter Dissolved Oxygen at 150 m: 933_300 (32.84N -117.53W),32.84099336134454,-117.5266957955182,150.0,1.0
1955,1955,nan,nan,nan,nan,DO (ml/L),Winter Dissolved Oxygen at 150 m: 933_300 (32.84N -117.53W),32.84099336134454,-117.5266957955182,150.0,1.0
1956,1956,2.094444444444444,0.0,2.094444444444444,2.094444444444444,DO (ml/L),Winter Dissolved Oxygen at 150 m: 933_300 (32.84N -117.53W),32.84099336134454,-117.5266957955182,150.0,1.0
1957,1957,nan,nan,nan,nan,DO (ml/L),Winter Dissolved Oxygen at 150 m: 933_300 (32.84N -117.53W),32.84099336134454,-117.5266957955182,150.0,1.0
1958,1958,3.267142857142857,0.0,3.267142857142857,3.267142857142857,DO (ml/L),Winter Dissolved Oxygen at 150 m: 933_300 (32.84N -117.53W),32.84099336134454,-117.5266957955182,150.0,1.0
1959,1959,2.4800714285714287,0.10292857142857148,2.3771428571428572,2.583,DO (ml/L),Winter Dissolved Oxygen at 150 m: 933_300 (32.84N -117.53W),32.84099336134454,-117.5266957955182,150.0,1.0
1960,1960,2.4049313725490196,0.49888622933420423,1.9060451432148153,2.903817601883224,DO (ml/L),Winter Dissolved Oxygen at 150 m: 933_300 (32.84N -117.53W),32.84099336134454,-117.5266957955182,150.0,1.0
1961,1961,2.642,0.0,2.642,2.642,DO (ml/L),Winter Dissolved Oxygen at 150 m: 933_300 (32.84N -117.53W),32.84099336134454,-117.5266957955182,150.0,1.0
1962,1962,1.9965,0.0,1.9965,1.9965,DO (ml/L),Winter Dissolved Oxygen at 150 m: 933_300 (32.84N -117.53W),32.84099336134454,-117.5266957955182,150.0,1.0
1963,1963,2.237727272727273,0.04772727272727284,2.19,2.2854545454545456,DO (ml/L),Winter Dissolved Oxygen at 150 m: 933_300 (32.84N -117.53W),32.84099336134454,-117.5266957955182,150.0,1.0
1964,1964,2.7956250000000002,0.03812499999999974,2.7575000000000003,2.83375,DO (ml/L),Winter Dissolved Oxygen at 150 m: 933_300 (32.84N -117.53W),32.84099336134454,-117.5266957955182,150.0,1.0
1965,1965,3.1851000000000003,0.8201,2.365,4.0052,DO (ml/L),Winter Dissolved Oxygen at 150 m: 933_300 (32.84N -117.53W),32.84099336134454,-117.5266957955182,150.0,1.0
1966,1966,2.716,0.0,2.716,2.716,DO (ml/L),Winter Dissolved Oxygen at 150 m: 933_300 (32.84N -117.53W),32.84099336134454,-117.5266957955182,150.0,1.0
1967,1967,nan,nan,nan,nan,DO (ml/L),Winter Dissolved Oxygen at 150 m: 933_300 (32.84N -117.53W),32.84099336134454,-117.5266957955182,150.0,1.0
1968,1968,nan,nan,nan,nan,DO (ml/L),Winter Dissolved Oxygen at 150 m: 933_300 (32.84N -117.53W),32.84099336134454,-117.5266957955182,150.0,1.0
1969,1969,2.8005,0.0,2.8005,2.8005,DO (ml/L),Winter Dissolved Oxygen at 150 m: 933_300 (32.84N -117.53W),32.84099336134454,-117.5266957955182,150.0,1.0
1970,1970,nan,nan,nan,nan,DO (ml/L),Winter Dissolved Oxygen at 150 m: 933_300 (32.84N -117.53W),32.84099336134454,-117.5266957955182,150.0,1.0
1971,1971,nan,nan,nan,nan,DO (ml/L),Winter Dissolved Oxygen at 150 m: 933_300 (32.84N -117.53W),32.84099336134454,-117.5266957955182,150.0,1.0
1972,1972,3.105,0.0,3.105,3.105,DO (ml/L),Winter Dissolved Oxygen at 150 m: 933_300 (32.84N -117.53W),32.84099336134454,-117.5266957955182,150.0,1.0
1973,1973,nan,nan,nan,nan,DO (ml/L),Winter Dissolved Oxygen at 150 m: 933_300 (32.84N -117.53W),32.84099336134454,-117.5266957955182,150.0,1.0
1974,1974,nan,nan,nan,nan,DO (ml/L),Winter Dissolved Oxygen at 150 m: 933_300 (32.84N -117.53W),32.84099336134454,-117.5266957955182,150.0,1.0
1975,1975,nan,nan,nan,nan,DO (ml/L),Winter Dissolved Oxygen at 150 m: 933_300 (32.84N -117.53W),32.84099336134454,-117.5266957955182,150.0,1.0
1976,1976,3.2975,0.0,3.2975,3.2975,DO (ml/L),Winter Dissolved Oxygen at 150 m: 933_300 (32.84N -117.53W),32.84099336134454,-117.5266957955182,150.0,1.0
1977,1977,nan,nan,nan,nan,DO (ml/L),Winter Dissolved Oxygen at 150 m: 933_300 (32.84N -117.53W),32.84099336134454,-117.5266957955182,150.0,1.0
1978,1978,2.7619230769230767,0.22852778975506527,2.5333952871680117,2.9904508666781418,DO (ml/L),Winter Dissolved Oxygen at 150 m: 933_300 (32.84N -117.53W),32.84099336134454,-117.5266957955182,150.0,1.0
1979,1979,nan,nan,nan,nan,DO (ml/L),Winter Dissolved Oxygen at 150 m: 933_300 (32.84N -117.53W),32.84099336134454,-117.5266957955182,150.0,1.0
1980,1980,nan,nan,nan,nan,DO (ml/L),Winter Dissolved Oxygen at 150 m: 933_300 (32.84N -117.53W),32.84099336134454,-117.5266957955182,150.0,1.0
1981,1981,nan,nan,nan,nan,DO (ml/L),Winter Dissolved Oxygen at 150 m: 933_300 (32.84N -117.53W),32.84099336134454,-117.5266957955182,150.0,1.0
1982,1982,2.4748,0.0,2.4748,2.4748,DO (ml/L),Winter Dissolved Oxygen at 150 m: 933_300 (32.84N -117.53W),32.84099336134454,-117.5266957955182,150.0,1.0
1983,1983,nan,nan,nan,nan,DO (ml/L),Winter Dissolved Oxygen at 150 m: 933_300 (32.84N -117.53W),32.84099336134454,-117.5266957955182,150.0,1.0
1984,1984,3.1835097222222224,0.14316938367161638,3.040340338550606,3.326679105893839,DO (ml/L),Winter Dissolved Oxygen at 150 m: 933_300 (32.84N -117.53W),32.84099336134454,-117.5266957955182,150.0,1.0
